#RMID    RA    DEC 
RM 199    214.39519      52.46962     
RM 200    212.63693      52.71265     
RM 201    213.06353      53.72004     
RM 202    212.49395      52.92129     
RM 203    214.54725      53.63572     
RM 204    213.09056      52.43240     
RM 205    214.85187      53.38765     
RM 206    214.67614      52.61222     
RM 207    214.41058      53.71418     
RM 208    214.93161      52.90871     
RM 209    214.95960      52.99739     
RM 210    214.96998      53.03450     
RM 211    213.84169      53.84264     
RM 212    212.65889      52.65141     
RM 213    213.57598      53.84634     
RM 214    214.29854      53.76740     
RM 215    214.96764      53.22804     
RM 216    213.92497      52.32272     
RM 217    212.50287      53.36560     
RM 218    213.12494      52.38989     
RM 219    214.99111      53.17309     
RM 220    214.82530      52.69958     
RM 221    214.99454      53.01945     
RM 222    212.68533      53.56864     
RM 223    213.92147      53.85117     
RM 224    213.43181      52.32067     
RM 225    214.83432      53.47748     
RM 226    213.63126      53.86518     
RM 227    214.56767      52.49463     
RM 228    214.31267      52.38687     
RM 229    212.57519      53.49374     
RM 230    212.52391      52.72840     
RM 231    215.02332      53.01020     
RM 232    214.21357      52.34615     
RM 233    212.38179      53.19631     
RM 234    212.43323      53.33448     
RM 235    212.79710      53.67483     
RM 236    213.91380      53.87768     
RM 237    212.59147      52.63701     
RM 238    214.45990      53.75493     
RM 239    214.85558      53.51026     
RM 240    213.58696      52.27498     
RM 241    214.41181      52.39252     
RM 242    215.04370      53.20663     
RM 243    212.35370      53.00074     
RM 244    212.42829      53.37204     
RM 245    213.44870      52.27950     
RM 246    214.85112      53.53268     
RM 247    214.67479      52.50973     
RM 248    214.34291      53.81474     
RM 249    214.98457      53.40074     
RM 250    214.17679      52.30352     
RM 251    213.97634      53.89917     
RM 252    214.46306      52.38641     
RM 253    214.82551      53.58150     
RM 254    214.87094      53.54590     
RM 255    213.85586      53.91895     
RM 256    213.39217      53.90843     
RM 257    212.38295      53.38395     
RM 258    215.11461      53.08182     
RM 259    215.10659      53.18479     
RM 260    212.57517      52.57946     
RM 261    212.84701      53.76562     
RM 262    213.35780      53.91128     
RM 263    212.28733      53.01008     
RM 264    213.05914      53.84867     
RM 265    215.09950      53.26807     
RM 266    212.51219      53.55957     
RM 267    212.80299      53.75199     
RM 268    212.68069      53.68660     
RM 269    214.87462      53.58373     
RM 270    212.42921      52.69808     
RM 271    214.46829      53.81373     
RM 272    214.10712      53.91070     
RM 273    213.29360      53.90960     
RM 274    214.95760      53.50929     
RM 275    212.46588      53.52604     
RM 276    214.36049      52.31570     
RM 277    213.53934      53.94672     
RM 278    214.32112      52.29764     
RM 279    212.44092      52.66400     
RM 280    214.95499      53.53547     
RM 281    212.34441      52.76988     
RM 282    214.91129      52.59382     
RM 283    214.30109      52.28217     
RM 284    214.86398      53.62436     
RM 285    214.21215      52.25793     
RM 286    215.16903      53.12799     
RM 287    213.13864      52.27057     
RM 288    213.71673      53.96587     
RM 289    213.88304      53.96150     
RM 290    212.90858      53.83269     
RM 291    214.18017      52.24328     
RM 292    215.15768      52.91468     
RM 293    214.84612      53.66015     
RM 294    213.42134      52.20559     
RM 295    213.44946      52.20137     
RM 296    214.65980      52.39983     
RM 297    212.50922      53.62505     
RM 298    212.98152      52.30083     
RM 299    215.15509      52.87407     
RM 300    214.92128      53.61379     
RM 301    215.04269      52.67490     
RM 302    212.21211      52.96415     
RM 303    214.62585      52.37013     
RM 304    212.19677      53.04313     
RM 305    212.51780      52.52805     
RM 306    214.09563      52.20340     
RM 307    214.13713      52.20878     
RM 308    213.26084      53.95833     
RM 309    214.84572      53.69322     
RM 310    213.08373      53.92036     
RM 311    214.34643      52.25406     
RM 312    212.42674      52.58799     
RM 313    212.85299      52.32336     
RM 314    212.94896      52.28387     
RM 315    214.94310      52.54624     
RM 316    215.21849      52.93956     
RM 317    214.77152      52.42435     
RM 318    213.20077      52.21211     
RM 319    214.67731      53.80800     
RM 320    215.16050      53.40458     
RM 321    215.18200      53.36843     
RM 322    214.71471      53.79667     
RM 323    212.84673      53.86783     
RM 324    214.24284      52.20142     
RM 325    212.15130      52.96864     
RM 326    213.95031      52.15276     
RM 327    215.06518      52.62190     
RM 328    213.30528      53.99556     
RM 329    214.24900      53.96852     
RM 330    214.19669      52.18757     
RM 331    215.28234      53.05505     
RM 332    212.18201      52.82808     
RM 333    214.13894      52.16697     
RM 334    214.79259      53.78531     
RM 335    214.88365      52.44430     
RM 336    213.80895      54.03969     
RM 337    215.26375      53.30621     
RM 338    214.98177      53.66865     
RM 339    215.06184      53.60252     
RM 340    215.23703      52.80828     
RM 341    213.75157      52.11626     
RM 342    212.09336      53.08106     
RM 343    212.76724      52.29873     
RM 344    215.30523      53.20516     
RM 345    212.67458      52.33901     
RM 346    214.68198      53.86072     
RM 347    214.21398      52.15969     
RM 348    215.16648      52.67081     
RM 349    215.02101      53.66038     
RM 350    214.81042      53.80294     
RM 351    212.81052      52.26972     
RM 352    213.66276      52.10448     
RM 353    212.21517      52.69283     
RM 354    214.98865      53.69944     
RM 355    214.30403      52.16597     
RM 356    213.89120      52.09946     
RM 357    214.98029      52.46144     
RM 358    212.47636      52.42461     
RM 359    215.32497      52.89611     
RM 360    213.66567      54.08010     
RM 361    215.25092      52.72844     
RM 362    214.37720      52.17208     
RM 363    215.30540      52.82498     
RM 364    213.25230      54.04500     
RM 365    214.81799      52.34572     
RM 366    215.17195      53.56536     
RM 367    212.95165      52.19182     
RM 368    212.05323      52.95240     
RM 369    213.26808      52.11647     
RM 370    215.08903      53.65022     
RM 371    212.84758      52.22547     
RM 372    213.15202      54.03115     
RM 373    214.74895      52.30268     
RM 374    212.86724      53.95659     
RM 375    213.87773      52.07765     
RM 376    212.05956      53.31550     
RM 377    215.18137      52.60318     
RM 378    213.33354      52.09107     
RM 379    212.90920      53.98508     
RM 380    212.00639      53.08355     
RM 381    212.11422      53.45284     
RM 382    212.00564      53.15441     
RM 383    215.40118      53.02049     
RM 384    214.91718      53.81660     
RM 385    215.35149      53.38680     
RM 386    215.21144      53.58749     
RM 387    214.77186      53.89838     
RM 388    215.34461      53.41267     
RM 389    214.66265      52.22586     
RM 390    212.55798      52.31337     
RM 391    215.42463      53.17979     
RM 392    215.30122      52.69646     
