# Mean_MJD=56660.209
# RMID=114 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.227
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0767
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  7.8565e+01  0.0000e+00    88080400    88080400
  3567.796  7.8540e+01  0.0000e+00    88080400    88080400
  3568.617  7.8515e+01  0.0000e+00    88080400    88080400
  3569.439  7.8490e+01  0.0000e+00    88080400    88080400
  3570.261  7.8465e+01  0.0000e+00    88080400    88080400
  3571.083  7.8440e+01  0.0000e+00    88080400    88080400
  3571.906  7.8416e+01  0.0000e+00    88080400    88080400
  3572.728  7.8391e+01  0.0000e+00    88080400    88080400
  3573.551  7.8366e+01  0.0000e+00    88080400    88080400
  3574.374  7.8341e+01  0.0000e+00    88080400    88080400
  3575.197  7.8317e+01  0.0000e+00    88080400    88080400
  3576.020  7.8292e+01  0.0000e+00    88080400    88080400
  3576.844  7.8267e+01  0.0000e+00    88080400    88080400
  3577.668  7.8243e+01  0.0000e+00    88080400    88080400
  3578.491  7.8218e+01  0.0000e+00    88080400    88080400
  3579.315  7.8194e+01  0.0000e+00    88080400    88080400
  3580.140  7.8169e+01  0.0000e+00    88080400    88080400
  3580.964  7.8145e+01  0.0000e+00    88080400    88080400
  3581.789  7.8121e+01  0.0000e+00    88080400    88080400
  3582.614  7.8096e+01  0.0000e+00    88080400    88080400
  3583.439  7.8072e+01  0.0000e+00    88080400    88080400
  3584.264  7.8048e+01  0.0000e+00    88080400    88080400
  3585.089  7.8024e+01  0.0000e+00    88080400    88080400
  3585.915  7.7999e+01  0.0000e+00    88080400    88080400
  3586.741  7.7975e+01  0.0000e+00    88080400    88080400
  3587.567  7.7951e+01  0.0000e+00    88080400    88080400
  3588.393  7.7927e+01  0.0000e+00    88080400    88080400
  3589.219  7.7903e+01  0.0000e+00    88080400    88080400
  3590.046  7.7879e+01  0.0000e+00    88080400    88080400
  3590.872  7.7855e+01  0.0000e+00    88080400    88080400
  3591.699  7.7831e+01  0.0000e+00    88080400    88080400
  3592.526  7.7808e+01  0.0000e+00    88080400    88080400
  3593.354  7.7784e+01  0.0000e+00    88080400    88080400
  3594.181  7.7760e+01  0.0000e+00    88080400    88080400
  3595.009  7.7736e+01  0.0000e+00    88080400    88080400
  3595.837  7.7713e+01  0.0000e+00    88080400    88080400
  3596.665  7.7689e+01  0.0000e+00    88080400    88080400
  3597.493  7.7665e+01  0.0000e+00    88080400    88080400
  3598.322  7.7642e+01  0.0000e+00    88080400    88080400
  3599.150  7.7618e+01  0.0000e+00    88080400    88080400
  3599.979  7.7595e+01  0.0000e+00    88080400    88080400
  3600.808  7.7572e+01  0.0000e+00    88080400    88080400
  3601.637  7.7548e+01  0.0000e+00    88080400    88080400
