# Mean_MJD=56660.209
# RMID=118 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.714
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0272
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -7.9471e+00  0.0000e+00    16777216    88080384
  3567.796 -7.9462e+00  5.3870e+00           0    71303168
  3663.532  2.5205e+01  2.6597e+00           0           0
  3664.376  2.1731e+01  2.6101e+00           0           0
  3665.219  2.3021e+01  2.6072e+00           0           0
  3666.063  1.7010e+01  2.3626e+00           0           0
  3666.908  1.6762e+01  2.2926e+00           0           0
  3667.752  2.2837e+01  2.3176e+00           0           0
  3668.597  2.1485e+01  2.2903e+00           0           0
  3669.442  2.1338e+01  2.2634e+00           0           0
  3670.287  2.2461e+01  2.3657e+00           0           0
  3671.132  2.5116e+01  2.3615e+00           0           0
  3671.977  2.3116e+01  2.3841e+00           0           0
  3672.823  2.2259e+01  2.3747e+00           0           0
  3673.669  2.8269e+01  2.4403e+00           0           0
  3674.515  1.9587e+01  2.2551e+00           0           0
  3675.361  1.8974e+01  2.1416e+00           0           0
  3676.207  1.9485e+01  2.1870e+00           0           0
  3677.054  2.0219e+01  2.2069e+00           0           0
  3677.901  2.2240e+01  2.2550e+00           0           0
  3678.747  2.2595e+01  2.2660e+00           0           0
  3679.595  1.8604e+01  2.1304e+00           0           0
  3680.442  2.0555e+01  2.1070e+00           0           0
  3681.290  1.6325e+01  1.9675e+00           0           0
  3682.137  1.5686e+01  2.0124e+00           0           0
  3682.985  2.1077e+01  2.1267e+00           0           0
  3683.833  2.2214e+01  2.1542e+00           0           0
  3684.682  2.1280e+01  2.1083e+00           0           0
  3685.530  1.9400e+01  2.0629e+00           0           0
  3686.379  2.0280e+01  2.0739e+00           0           0
  3687.228  2.0559e+01  2.0628e+00           0           0
  3688.077  1.9662e+01  2.0320e+00           0           0
  3688.926  2.0406e+01  2.0557e+00           0           0
  3689.776  2.0293e+01  2.0490e+00           0       65536
  3690.625  2.0275e+01  2.0648e+00           0       65536
  3691.475  2.3871e+01  2.1621e+00           0       65536
  3692.325  2.0570e+01  2.0561e+00           0       65536
  3693.176  1.3275e+01  1.9367e+00           0       65536
  3694.026  1.5790e+01  1.9556e+00           0           0
  3694.877  2.0901e+01  2.0308e+00           0           0
