# Mean_MJD=56660.209
# RMID=145 SOURCE_TYPE=RM_TILE2
# ZFINAL=2.138
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0155
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -6.3675e+00  0.0000e+00    16777216    88080384
  3567.796 -6.3668e+00  5.4934e+00           0    71303168
  3568.617 -2.7755e+00  0.0000e+00           0    71303168
  3569.439  8.1508e-01  4.2569e+00           0           0
  3570.261  2.2715e+00  4.2662e+00           0           0
  3571.083  7.7401e+00  4.4917e+00           0           0
  3571.906  8.9461e+00  4.3652e+00           0           0
  3572.728  5.5881e+00  4.4135e+00           0           0
  3573.551  2.6589e+00  4.3700e+00           0           0
  3574.374  3.0434e+00  4.2470e+00           0           0
  3575.197 -8.3964e-01  4.0754e+00           0           0
  3576.020 -2.8207e+00  4.1322e+00           0           0
  3576.844 -2.4182e+00  4.1699e+00           0           0
  3577.668 -1.5272e+00  4.1807e+00           0           0
  3578.491  3.7351e+00  4.1218e+00           0           0
  3579.315 -5.9272e+00  3.9607e+00           0           0
  3580.140  2.1909e+00  4.2533e+00           0           0
  3580.964 -1.6236e+00  3.9019e+00           0           0
  3581.789 -7.2289e+00  3.9872e+00           0           0
  3582.614  8.8036e+00  4.2656e+00           0           0
  3583.439  8.1871e+00  4.3678e+00           0           0
  3584.264  3.0072e+00  4.0995e+00           0           0
  3585.089 -5.3420e+00  3.7511e+00           0           0
  3585.915 -3.6498e+00  3.8044e+00           0           0
  3586.741  1.8500e+00  3.8769e+00           0           0
  3587.567 -1.9990e-01  3.8602e+00           0           0
  3588.393  2.6509e+00  3.9048e+00           0           0
  3589.219  5.3898e+00  3.9130e+00           0           0
  3590.046  3.2361e+00  3.7799e+00           0           0
  3590.872  2.3568e-01  3.5848e+00           0           0
  3591.699 -1.3014e+00  3.5975e+00           0           0
  3592.526 -1.2363e+00  3.6742e+00           0           0
  3593.354  1.7674e+00  3.6903e+00           0           0
  3594.181  1.8631e+00  3.7595e+00           0           0
  3595.009 -6.9309e+00  3.4392e+00           0           0
  3595.837 -3.2619e+00  3.5888e+00           0           0
  3596.665  2.9937e+00  3.5703e+00           0           0
  3597.493 -6.4304e+00  3.4601e+00           0           0
  3598.322 -7.8972e+00  3.3899e+00           0           0
  3599.150 -2.0225e+00  3.4876e+00           0           0
  3599.979  9.1420e-01  3.5288e+00           0           0
  3600.808  3.6410e+00  3.6199e+00           0           0
  3601.637  4.3314e+00  3.6418e+00           0           0
  3602.467  1.6799e+00  3.5804e+00           0           0
  3603.296  4.7806e+00  3.6179e+00           0           0
  3604.126  9.2920e-01  3.4301e+00           0           0
  3604.956  2.0962e-01  3.2524e+00           0           0
  3605.786 -4.9584e-01  3.1393e+00           0           0
  3606.617 -2.4551e+00  3.1275e+00           0           0
  3607.447 -1.3768e+00  3.2767e+00           0           0
  3608.278  2.4083e+00  3.2167e+00           0           0
  3609.109 -4.8381e+00  2.9843e+00           0           0
  3609.940  3.3193e-01  3.2094e+00           0           0
  3610.771  2.5174e+00  3.2732e+00           0           0
  3611.603 -1.5286e+00  3.1731e+00           0           0
  3612.434 -6.0193e-01  3.0679e+00           0           0
  3613.266  2.2222e+00  3.1357e+00           0           0
  3614.098  3.2683e+00  3.1485e+00           0           0
  3614.931  2.1003e+00  3.0935e+00           0           0
  3615.763 -6.6674e-01  3.1053e+00           0           0
  3616.596 -1.1685e+00  3.1233e+00           0           0
  3617.429  1.7053e+00  3.1109e+00           0           0
  3618.262  1.3132e+00  3.1328e+00           0           0
  3619.095  2.7382e+00  3.1481e+00           0           0
  3619.928  4.2932e+00  3.1856e+00           0           0
  3620.762  2.4735e+00  3.0533e+00           0           0
  3621.596 -1.6793e+00  2.8749e+00           0           0
  3622.430 -3.7426e+00  2.8148e+00           0           0
  3623.264 -1.7782e+00  2.8671e+00           0           0
  3624.098 -2.3001e-01  2.7986e+00           0           0
  3624.933  4.7493e+00  2.9240e+00           0           0
  3625.768  2.9576e+00  2.8490e+00           0           0
  3626.603 -8.2576e-01  2.7747e+00           0           0
  3627.438  2.2908e+00  2.7920e+00           0           0
  3628.273  1.3005e+00  2.7504e+00           0           0
  3629.109  2.0941e+00  2.7623e+00           0           0
  3629.944 -2.6554e+00  2.5745e+00           0           0
  3630.780 -8.7166e-01  2.6758e+00           0           0
  3631.616  2.6882e+00  2.7990e+00           0           0
  3632.453 -2.2753e+00  2.6582e+00           0           0
  3633.289 -1.7218e+00  2.6949e+00           0       65536
  3634.126  3.3786e+00  2.7641e+00           0       65536
  3634.963  2.0085e+00  2.5660e+00           0       65536
  3635.800 -1.0420e+00  2.5286e+00           0       65536
  3636.637 -2.6410e+00  2.3507e+00           0    33554432
  3637.475 -3.1664e+00  2.3488e+00           0    33554432
  3638.312  1.2476e-02  2.4747e+00           0           0
  3639.150  2.1681e+00  2.5110e+00           0           0
  3639.988  1.6772e+00  2.4817e+00           0           0
  3640.826 -1.9197e+00  2.4034e+00           0           0
  3641.665 -3.2481e+00  2.3711e+00           0           0
  3642.503 -4.3348e-02  2.4321e+00           0           0
  3643.342 -1.7329e+00  2.4023e+00           0           0
  3644.181 -1.6452e+00  2.4080e+00           0           0
  3645.021  2.8642e+00  2.5818e+00           0           0
  3645.860  3.8076e+00  2.5931e+00           0           0
  3646.699  2.2116e+00  2.5944e+00           0           0
  3647.539  2.5310e+00  2.5110e+00           0       65536
  3648.379 -9.4934e-01  2.4325e+00           0       65536
  3649.219 -2.8650e+00  2.4572e+00           0       65536
  3650.060  2.8258e-01  2.5483e+00           0       65536
  3650.900 -8.0553e-02  2.5329e+00           0       65536
  3651.741 -1.3912e+00  2.5121e+00           0       65536
  3652.582  1.9689e+00  2.4730e+00           0           0
  3653.423  9.6567e-01  2.4346e+00           0           0
  3654.264  1.1880e+00  2.4861e+00           0           0
  3655.106  7.0097e+00  2.6824e+00           0           0
  3655.948  3.7501e+00  2.4685e+00           0           0
  3656.790 -3.5991e+00  2.2731e+00           0       65536
  3657.632 -1.2371e+00  2.1703e+00           0       65536
  3658.474  2.2114e+00  2.2567e+00           0       65536
  3659.317  5.1437e+00  2.3761e+00           0       65536
  3660.159  1.4569e+00  2.2967e+00           0       65536
  3661.002  1.2556e+00  2.2430e+00           0       65536
  3661.845  2.7142e+00  2.3407e+00           0       65536
  3662.688 -6.6291e-01  2.2956e+00           0           0
  3663.532  7.7848e-02  2.2916e+00           0           0
  3664.376 -3.7541e-01  2.2831e+00           0           0
  3665.219 -1.0218e-01  2.2410e+00           0           0
  3666.063 -3.1218e-01  2.2428e+00           0           0
  3666.908  1.6167e-02  2.0488e+00           0           0
  3667.752  1.3916e+00  1.9730e+00           0           0
  3668.597 -2.6520e-01  1.9900e+00           0           0
  3669.442  6.8260e-01  2.0885e+00           0           0
  3670.287  1.0806e+00  2.1352e+00           0           0
  3671.132  4.5997e+00  2.2329e+00           0           0
  3671.977  4.3171e+00  2.1245e+00           0           0
  3672.823 -2.8553e+00  1.9788e+00           0           0
  3673.669  6.6867e-01  1.9339e+00           0           0
  3674.515 -3.1471e+00  1.9218e+00           0           0
  3675.361  3.5130e+00  2.0046e+00           0           0
  3676.207  3.7917e-01  1.8687e+00           0           0
  3677.054 -5.0922e+00  1.8459e+00           0           0
  3677.901  2.8042e+00  1.9386e+00           0           0
  3678.747 -1.8693e+00  1.8899e+00           0           0
  3679.595 -1.3033e+00  1.8250e+00           0           0
  3680.442  9.0904e-01  1.8688e+00           0           0
  3681.290  3.2789e+00  2.0006e+00           0           0
  3682.137  2.3580e+00  1.8412e+00           0           0
  3682.985 -8.7484e-01  1.8237e+00           0           0
  3683.833  3.6695e+00  1.9198e+00           0           0
  3684.682  9.6580e-01  1.8708e+00           0           0
  3685.530 -4.9068e-01  1.7969e+00           0           0
  3686.379 -2.5273e+00  1.7486e+00           0           0
  3687.228 -2.9137e+00  1.6979e+00           0           0
  3688.077  1.0632e+00  1.7161e+00           0           0
  3688.926  1.4424e+00  1.7230e+00           0           0
  3689.776  1.8387e+00  1.7278e+00           0           0
  3690.625 -2.1162e+00  1.6940e+00           0           0
  3691.475 -2.4306e+00  1.7530e+00           0           0
  3692.325 -1.0598e+00  1.7009e+00           0           0
  3693.176 -2.1354e+00  1.7226e+00           0           0
  3694.026  3.1260e+00  1.7664e+00           0           0
  3694.877 -1.0176e+00  1.8116e+00           0           0
  3695.728  3.4821e+00  1.8399e+00           0           0
  3696.579  2.9827e+00  1.7138e+00           0           0
  3697.430 -9.8102e-01  1.6508e+00           0           0
  3698.282  1.2816e+00  1.6734e+00           0           0
  3699.133 -1.9941e+00  1.7504e+00           0           0
  3699.985  5.4482e+00  1.9113e+00           0           0
  3700.837  1.0539e+00  1.8376e+00           0           0
  3701.689 -2.1901e+00  1.7481e+00           0           0
  3702.542 -1.3781e+00  1.6950e+00           0           0
  3703.394 -2.4021e+00  1.7663e+00           0           0
  3704.247  3.1859e+00  1.8003e+00           0           0
  3705.100 -3.5716e+00  1.6614e+00           0           0
  3705.954 -3.6306e-01  1.6391e+00           0           0
  3706.807  2.8397e+00  1.7648e+00           0           0
  3707.661  1.0772e+00  1.6705e+00           0           0
  3708.514 -3.2572e-01  1.5433e+00           0           0
  3709.368 -2.0172e+00  1.5377e+00           0           0
  3710.223  4.5512e+00  1.6580e+00           0           0
  3711.077  9.6973e-01  1.6370e+00           0           0
  3711.932  9.8116e-02  1.5719e+00           0           0
  3712.787  1.9925e+00  1.6309e+00           0           0
  3713.641 -1.8392e+00  1.5921e+00           0           0
  3714.497 -2.5569e-01  1.6138e+00           0           0
  3715.352  3.2438e+00  1.6626e+00           0           0
  3716.208  4.2144e+00  1.6139e+00           0           0
  3717.063 -9.9555e-02  1.4805e+00           0           0
  3717.919 -2.4629e+00  1.3201e+00           0           0
  3718.776  1.7475e+00  1.4296e+00           0           0
  3719.632  6.1623e-01  1.4003e+00           0           0
  3720.489  2.3333e-01  1.3388e+00           0           0
  3721.345 -4.9420e-01  1.3749e+00           0           0
  3722.202 -3.1296e-01  1.3406e+00           0           0
  3723.059  1.1010e+00  1.3926e+00           0           0
  3723.917  1.5080e+00  1.3919e+00           0           0
  3724.774 -6.1154e-01  1.4107e+00           0           0
  3725.632  2.3139e+00  1.4641e+00           0           0
  3726.490  1.8560e+00  1.4921e+00           0           0
  3727.348 -9.7547e-02  1.4361e+00           0           0
  3728.207 -7.1456e-02  1.3993e+00           0           0
  3729.065  1.0223e+00  1.4735e+00           0           0
  3729.924 -4.3076e-01  1.4647e+00           0           0
  3730.783 -6.1033e-01  1.4231e+00           0           0
  3731.642 -1.4797e+00  1.3644e+00           0           0
  3732.501  6.3518e-02  1.4137e+00           0           0
  3733.361  3.1241e+00  1.5330e+00           0           0
  3734.221  3.6163e+00  1.5561e+00           0           0
  3735.081  1.5478e+00  1.4547e+00           0           0
  3735.941 -9.6922e-02  1.3348e+00           0           0
  3736.801  1.4852e+00  1.4534e+00           0           0
  3737.662  1.2224e+00  1.4380e+00           0           0
  3738.522  9.0112e-01  1.4528e+00           0           0
  3739.383  3.6977e+00  1.5198e+00           0           0
  3740.244  2.3589e+00  1.4801e+00           0           0
  3741.106 -8.0951e-02  1.3751e+00           0           0
  3741.967 -1.9691e+00  1.3415e+00           0           0
