# Mean_MJD=56660.209
# RMID=040 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.600
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0812
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -5.0514e+00  0.0000e+00    88080384    88080384
  3567.796 -5.0498e+00  0.0000e+00    88080384    88080384
  3568.617 -5.0482e+00  0.0000e+00    88080384    88080384
  3569.439 -5.0466e+00  0.0000e+00    88080384    88080384
  3570.261 -5.0450e+00  0.0000e+00    88080384    88080384
  3571.083 -5.0434e+00  0.0000e+00    88080384    88080384
  3571.906 -5.0418e+00  0.0000e+00    88080384    88080384
  3572.728 -5.0402e+00  0.0000e+00    88080384    88080384
  3573.551 -5.0387e+00  0.0000e+00    88080384    88080384
  3574.374 -5.0371e+00  0.0000e+00    88080384    88080384
  3575.197 -5.0355e+00  0.0000e+00    88080384    88080384
  3576.020 -5.0339e+00  0.0000e+00    88080384    88080384
  3576.844 -5.0323e+00  0.0000e+00    88080384    88080384
  3577.668 -5.0308e+00  0.0000e+00    88080384    88080384
  3578.491 -5.0292e+00  0.0000e+00    88080384    88080384
  3579.315 -5.0276e+00  0.0000e+00    88080384    88080384
  3580.140 -5.0260e+00  0.0000e+00    88080384    88080384
  3580.964 -5.0245e+00  0.0000e+00    88080384    88080384
  3581.789 -5.0229e+00  0.0000e+00    88080384    88080384
  3582.614 -5.0214e+00  0.0000e+00    88080384    88080384
  3583.439 -5.0198e+00  0.0000e+00    88080384    88080384
  3584.264 -5.0182e+00  0.0000e+00    88080384    88080384
  3585.089 -5.0167e+00  0.0000e+00    88080384    88080384
  3585.915 -5.0151e+00  0.0000e+00    88080384    88080384
  3586.741 -5.0136e+00  0.0000e+00    88080384    88080384
  3587.567 -5.0120e+00  0.0000e+00    88080384    88080384
  3588.393 -5.0105e+00  0.0000e+00    88080384    88080384
  3589.219 -5.0090e+00  0.0000e+00    88080384    88080384
  3590.046 -5.0074e+00  0.0000e+00    88080384    88080384
  3590.872 -5.0059e+00  0.0000e+00    88080384    88080384
  3591.699 -5.0044e+00  0.0000e+00    88080384    88080384
  3592.526 -5.0028e+00  0.0000e+00    88080384    88080384
  3593.354 -5.0013e+00  0.0000e+00    88080384    88080384
  3594.181 -4.9998e+00  0.0000e+00    88080384    88080384
  3595.009 -4.9983e+00  0.0000e+00    88080384    88080384
  3595.837 -4.9967e+00  0.0000e+00    88080384    88080384
  3596.665 -4.9952e+00  0.0000e+00    88080384    88080384
  3597.493 -4.9937e+00  0.0000e+00    88080384    88080384
  3598.322 -4.9922e+00  0.0000e+00    88080384    88080384
  3599.150 -4.9907e+00  0.0000e+00    88080384    88145920
  3599.979 -4.9892e+00  0.0000e+00    88080384    88145920
  3600.808 -4.9877e+00  0.0000e+00    88080384    88145920
  3601.637 -4.9862e+00  0.0000e+00    88080384    88145920
  3602.467 -4.9847e+00  0.0000e+00    88080384    88145920
  3603.296 -4.9832e+00  0.0000e+00    88080384    88080384
  3604.126 -4.9817e+00  0.0000e+00    88080384    88080384
  3604.956 -4.9802e+00  0.0000e+00    88080384    88080384
  3605.786 -4.9787e+00  0.0000e+00    88080384    88080384
  3606.617 -4.9772e+00  0.0000e+00    88080384    88080384
  3607.447 -4.9757e+00  0.0000e+00    88080384    88080384
  3608.278 -4.9743e+00  0.0000e+00    88080384    88080384
  3609.109 -4.9728e+00  0.0000e+00    88080384    88080384
  3609.940 -4.9713e+00  0.0000e+00    88080384    88080384
  3610.771 -4.9698e+00  0.0000e+00    16777216    88080384
  3611.603 -4.9684e+00  0.0000e+00    16777216    88080384
  3612.434 -4.9669e+00  3.7593e+00           0           0
  3613.266  1.8939e+00  3.8454e+00           0           0
  3614.098  3.2952e+00  3.9421e+00           0           0
  3614.931 -1.0108e+00  3.7499e+00           0           0
  3615.763  4.0973e-01  3.7693e+00           0           0
  3616.596  8.7047e+00  4.0357e+00           0           0
  3617.429  5.6096e+00  3.8090e+00           0           0
  3618.262  3.7021e+00  3.5370e+00           0           0
  3619.095 -1.7083e+00  3.2878e+00           0           0
