# Mean_MJD=56660.209
# RMID=001 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.289
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0280
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  2.2076e+00  0.0000e+00    16777216    88080384
  3567.796  2.2073e+00  4.6808e+00           0    71303168
  3568.617  1.2361e+00  0.0000e+00           0    71303168
  3569.439  2.6511e-01  3.1176e+00           0           0
  3570.261 -4.4234e-01  3.1028e+00           0           0
  3571.083 -2.9281e-01  3.1098e+00           0           0
  3571.906  7.9925e-01  3.1257e+00           0           0
  3572.728  3.4962e+00  3.2517e+00           0           0
  3573.551  5.6647e+00  3.1221e+00           0           0
  3574.374  5.5005e+00  3.0731e+00           0           0
  3575.197  3.8929e+00  3.1219e+00           0           0
  3576.020  5.3079e+00  3.2810e+00           0           0
  3576.844  1.4225e+01  3.4073e+00           0           0
  3577.668  3.5380e+00  3.1620e+00           0           0
  3578.491  2.8067e+00  3.1817e+00           0           0
  3579.315  1.1611e+01  3.4042e+00           0           0
  3580.140  3.3717e+00  3.2714e+00           0           0
  3580.964  4.5056e+00  3.1844e+00           0           0
  3581.789  4.8030e+00  3.1461e+00           0           0
  3582.614  4.4590e+00  3.0226e+00           0           0
  3583.439  5.9524e+00  3.1140e+00           0           0
  3584.264  5.0272e+00  2.9605e+00           0           0
  3585.089 -1.1380e+00  2.7946e+00           0           0
  3585.915 -9.1648e-01  2.6462e+00           0           0
  3586.741 -3.1329e+00  2.5813e+00           0           0
  3587.567 -1.1231e+00  2.5677e+00           0           0
  3588.393  5.7546e-01  2.6577e+00           0           0
  3589.219  1.1641e+00  2.6963e+00           0           0
  3590.046  3.0388e+00  2.8039e+00           0           0
  3590.872 -5.8427e-01  2.7735e+00           0           0
  3591.699  3.7149e+00  2.7299e+00           0           0
  3592.526  3.7410e+00  2.7968e+00           0           0
  3593.354  1.5567e+00  2.6264e+00           0           0
  3594.181  1.0280e+00  2.6797e+00           0           0
  3595.009  9.7891e-01  2.6239e+00           0           0
  3595.837  6.6702e-01  2.5994e+00           0           0
  3596.665 -2.0133e+00  2.4982e+00           0           0
  3597.493  4.0478e+00  2.7736e+00           0           0
  3598.322  4.6666e+00  2.7887e+00           0           0
  3599.150  1.8518e+00  2.8586e+00           0           0
  3599.979  7.5659e+00  2.9475e+00           0           0
  3600.808  1.7269e+00  2.8234e+00           0           0
  3601.637 -4.8805e+00  2.5325e+00           0           0
  3602.467 -3.4168e+00  2.5341e+00           0           0
  3603.296  8.8537e-01  2.5726e+00           0           0
  3604.126  1.5771e+00  2.5792e+00           0           0
  3604.956 -1.9202e-01  2.4880e+00           0           0
  3605.786  2.5494e+00  2.5706e+00           0           0
  3606.617  7.3074e-01  2.4897e+00           0           0
  3607.447  3.6944e+00  2.4934e+00           0           0
  3608.278  2.7101e+00  2.4138e+00           0           0
  3609.109 -6.8370e-01  2.3096e+00           0           0
  3609.940  2.3443e+00  2.3548e+00           0           0
  3610.771 -2.6820e-01  2.3405e+00           0           0
  3611.603  2.8612e+00  2.4287e+00           0           0
  3612.434  5.7284e+00  2.4399e+00           0           0
  3613.266  3.2487e+00  2.4357e+00           0           0
  3614.098  8.0259e-01  2.4331e+00           0           0
  3614.931  4.3368e+00  2.4729e+00           0           0
  3615.763  3.5907e+00  2.5165e+00           0           0
  3616.596  2.8305e+00  2.4812e+00           0           0
  3617.429  4.5884e+00  2.5296e+00           0           0
  3618.262  9.6589e-01  2.4362e+00           0           0
  3619.095 -3.5059e+00  2.2758e+00           0           0
  3619.928  2.0740e-01  2.3154e+00           0           0
  3620.762 -1.3502e+00  2.3564e+00           0           0
  3621.596  2.1225e+00  2.2838e+00           0           0
  3622.430  4.5347e+00  2.4644e+00           0           0
  3623.264  4.3343e+00  2.4183e+00           0           0
  3624.098  2.5856e+00  2.3091e+00           0           0
  3624.933  4.3955e-01  2.1955e+00           0           0
  3625.768  8.2398e-02  2.2258e+00           0           0
  3626.603  1.8941e+00  2.2901e+00           0           0
  3627.438  1.3426e+00  2.3195e+00           0           0
  3628.273  3.6591e+00  2.3379e+00           0           0
  3629.109  4.9038e+00  2.3834e+00           0           0
  3629.944 -2.2671e-01  2.2742e+00           0           0
  3630.780  4.8347e+00  2.3828e+00           0           0
  3631.616  6.5120e+00  2.5012e+00           0           0
  3632.453  7.3379e+00  2.5621e+00           0           0
  3633.289  1.5130e+00  2.3440e+00           0           0
  3634.126 -3.6371e+00  2.2230e+00           0           0
  3634.963  2.8370e+00  2.2358e+00           0           0
  3635.800  3.5646e+00  2.2281e+00           0           0
  3636.637  5.2249e+00  2.3901e+00           0           0
  3637.475  3.9447e+00  2.3184e+00           0           0
  3638.312  4.4574e+00  2.3033e+00           0           0
  3639.150  3.6646e+00  2.2615e+00           0           0
  3639.988 -2.2942e+00  2.1007e+00           0           0
  3640.826  2.2051e+00  2.0206e+00           0           0
  3641.665 -2.2237e+00  1.9384e+00           0           0
  3642.503  1.2485e+00  2.0688e+00           0           0
  3643.342  3.7692e+00  2.1341e+00           0           0
  3644.181  2.8477e-01  2.0362e+00           0           0
  3645.021  1.3928e-01  2.0035e+00           0           0
  3645.860  4.9488e+00  2.1976e+00           0           0
