# Mean_MJD=56660.209
# RMID=142 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.686
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0184
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.7332e+00  0.0000e+00    16777216    88080384
  3567.796  1.7330e+00  5.2643e+00           0    71303168
  3568.617  2.4525e+00  0.0000e+00           0    71303168
  3569.439  3.1719e+00  4.2152e+00           0           0
  3570.261  5.3788e+00  4.4555e+00           0           0
  3571.083  1.7992e+01  4.6003e+00           0           0
  3571.906  4.1619e+00  4.2539e+00           0           0
  3572.728  4.1302e+00  3.9908e+00           0           0
  3573.551  8.7666e+00  4.1339e+00           0           0
  3574.374  6.2510e+00  4.1862e+00           0           0
  3575.197  3.1816e+00  4.1354e+00           0           0
  3576.020  1.0248e+01  4.2109e+00           0           0
  3576.844  4.4437e+00  4.1729e+00           0           0
  3577.668  5.7206e+00  4.0470e+00           0           0
  3578.491  1.5647e+00  4.0984e+00           0           0
  3579.315  9.4634e-01  4.0659e+00           0           0
  3580.140  5.6386e+00  4.1945e+00           0           0
  3580.964 -5.5289e-01  3.9967e+00           0           0
  3581.789  2.4407e+00  3.9205e+00           0           0
  3582.614  6.0406e-01  3.8755e+00           0           0
  3583.439  4.6998e+00  3.9880e+00           0           0
  3584.264  4.9181e+00  3.7408e+00           0           0
  3585.089 -4.2886e-01  3.7837e+00           0           0
  3585.915  6.5790e+00  4.1995e+00           0       65536
  3586.741  1.0905e+01  4.2853e+00           0       65536
  3587.567  7.5600e+00  3.9690e+00           0       65536
  3588.393  4.6109e-01  3.7615e+00           0       65536
  3589.219  3.4632e+00  3.7387e+00           0       65536
  3590.046  1.0972e+01  3.6009e+00           0       65536
  3590.872  1.4881e+00  3.5062e+00           0           0
  3591.699  5.6794e-01  3.4397e+00           0           0
  3592.526  1.3044e+00  3.3491e+00           0           0
  3593.354  4.1347e+00  3.2947e+00           0           0
  3594.181  5.9611e+00  3.3743e+00           0           0
  3595.009  4.8743e+00  3.3781e+00           0           0
  3595.837  4.7225e+00  3.3947e+00           0           0
  3596.665  7.0539e+00  3.5097e+00           0           0
  3597.493  4.3223e+00  3.5073e+00           0           0
  3598.322  5.6411e+00  3.4612e+00           0           0
  3599.150  6.0179e+00  3.3792e+00           0           0
  3599.979  3.2664e+00  3.2641e+00           0           0
  3600.808  5.8364e+00  3.1949e+00           0           0
  3601.637  3.2659e+00  3.1805e+00           0           0
  3602.467  1.0086e+00  3.1636e+00           0           0
  3603.296 -3.6881e+00  2.9632e+00           0           0
  3604.126 -3.0655e+00  2.9050e+00           0           0
  3604.956  2.8531e+00  3.0694e+00           0           0
  3605.786  2.8659e+00  3.0953e+00           0           0
  3606.617  9.9172e+00  3.1861e+00           0           0
  3607.447  6.8914e+00  3.2792e+00           0           0
  3608.278  3.5471e+00  3.0472e+00           0           0
  3609.109  2.6122e+00  3.0347e+00           0           0
  3609.940  2.3656e+00  2.9763e+00           0           0
  3610.771  3.6103e+00  3.0527e+00           0           0
  3611.603  2.5276e+00  3.0434e+00           0           0
  3612.434  8.6076e+00  3.1806e+00           0           0
  3613.266  8.5469e+00  3.2686e+00           0           0
  3614.098  4.3229e+00  3.0633e+00           0           0
  3614.931  3.1643e+00  3.0704e+00           0           0
  3615.763  3.1231e+00  3.1169e+00           0           0
  3616.596  9.8152e-01  2.9943e+00           0           0
  3617.429 -1.6645e+00  2.9789e+00           0           0
  3618.262 -1.0608e-02  2.8278e+00           0           0
  3619.095  2.7256e+00  2.9442e+00           0           0
  3619.928  2.0848e+00  2.9040e+00           0           0
  3620.762  4.2756e-01  2.8453e+00           0           0
  3621.596  4.5446e+00  2.8729e+00           0           0
  3622.430  6.3274e+00  2.9792e+00           0           0
  3623.264  3.9495e+00  2.9639e+00           0      851968
  3624.098  2.8164e+00  3.0086e+00           0      851968
  3624.933  5.5844e+00  3.0482e+00           0      851968
  3625.768  6.9406e+00  2.9816e+00           0      851968
  3626.603  2.7334e+00  2.8014e+00           0      851968
  3627.438  6.4778e-01  2.8513e+00           0           0
  3628.273  7.5441e+00  3.0326e+00           0           0
  3629.109  8.9459e+00  3.0025e+00           0           0
  3629.944  3.8461e+00  2.9618e+00           0           0
  3630.780  1.0581e+01  3.1831e+00           0           0
  3631.616  3.5578e+00  2.9363e+00           0           0
  3632.453  1.4622e+00  2.8988e+00           0           0
  3633.289  8.7657e+00  3.1245e+00           0           0
  3634.126  9.5811e+00  3.0305e+00           0           0
  3634.963  5.2112e-01  2.7294e+00           0           0
  3635.800  1.6698e+00  2.6539e+00           0           0
  3636.637  1.0453e+01  2.9420e+00           0           0
  3637.475  7.2843e+00  2.9170e+00           0           0
  3638.312  4.8493e+00  2.7511e+00           0           0
  3639.150  6.0865e+00  2.7989e+00           0           0
  3639.988  6.2173e+00  2.7170e+00           0           0
  3640.826  4.5598e+00  2.5967e+00           0           0
  3641.665  3.4488e+00  2.5978e+00           0           0
  3642.503  7.2813e+00  2.7730e+00           0           0
  3643.342  1.0026e+00  2.4692e+00           0           0
  3644.181 -3.9617e+00  2.3539e+00           0           0
  3645.021  1.3382e+00  2.3945e+00           0           0
  3645.860  3.0885e+00  2.5640e+00           0           0
  3646.699  4.7258e+00  2.6997e+00           0           0
  3647.539  6.4991e+00  2.5975e+00           0           0
  3648.379  4.1273e+00  2.5369e+00           0           0
  3649.219  1.8078e+00  2.5467e+00           0           0
  3650.060  3.4291e+00  2.6473e+00           0           0
  3650.900  4.8733e+00  2.7780e+00           0           0
  3651.741  3.2983e+00  2.7183e+00           0           0
  3652.582  5.3741e+00  2.5719e+00           0           0
  3653.423  2.2113e+00  2.4734e+00           0           0
  3654.264  1.8620e+00  2.4175e+00           0           0
  3655.106  6.1856e+00  2.5339e+00           0           0
  3655.948  1.8210e+00  2.5108e+00           0           0
  3656.790  5.9610e+00  2.5689e+00           0           0
  3657.632  4.7539e+00  2.5338e+00           0           0
  3658.474  5.0778e+00  2.4520e+00           0           0
  3659.317  7.0806e+00  2.4987e+00           0           0
  3660.159  7.1275e+00  2.5282e+00           0           0
  3661.002  6.0412e+00  2.4447e+00           0           0
  3661.845  3.7775e+00  2.3653e+00           0           0
  3662.688  2.9695e+00  2.4765e+00           0           0
  3663.532  7.8611e+00  2.5413e+00           0           0
  3664.376  7.3201e+00  2.5229e+00           0           0
  3665.219  1.5666e+00  2.3518e+00           0           0
  3666.063  7.9163e+00  2.3105e+00           0           0
  3666.908  7.2316e+00  2.2201e+00           0           0
  3667.752  3.5563e+00  1.9777e+00           0           0
  3668.597  6.3685e+00  2.1845e+00           0           0
  3669.442  8.0545e+00  2.1936e+00           0           0
