# Mean_MJD=56660.209
# RMID=007 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.861
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0773
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  2.8218e+00  0.0000e+00    88145936    88145936
  3567.796  2.8209e+00  0.0000e+00    88145936    88145936
  3568.617  2.8200e+00  0.0000e+00    88145936    88145936
  3569.439  2.8191e+00  0.0000e+00    88145936    88145936
  3570.261  2.8182e+00  0.0000e+00    88145936    88145936
  3571.083  2.8173e+00  0.0000e+00    88145936    88145936
  3571.906  2.8164e+00  0.0000e+00    88145936    88145936
  3572.728  2.8155e+00  0.0000e+00    88145936    88145936
  3573.551  2.8146e+00  0.0000e+00    88145936    88145936
  3574.374  2.8138e+00  0.0000e+00    88145936    88145936
  3575.197  2.8129e+00  0.0000e+00    88145936    88145936
  3576.020  2.8120e+00  0.0000e+00    88145936    88145936
  3576.844  2.8111e+00  0.0000e+00    88145936    88145936
  3577.668  2.8102e+00  0.0000e+00    88145936    88145936
  3578.491  2.8094e+00  0.0000e+00    88145936    88145936
  3579.315  2.8085e+00  0.0000e+00    88145936    88145936
  3580.140  2.8076e+00  0.0000e+00    88145936    88145936
  3580.964  2.8067e+00  0.0000e+00    88145936    88145936
  3581.789  2.8059e+00  0.0000e+00    88145936    88145936
  3582.614  2.8050e+00  0.0000e+00    88145936    88145936
  3583.439  2.8041e+00  0.0000e+00    88145936    88145936
  3584.264  2.8032e+00  0.0000e+00    88145936    88145936
  3585.089  2.8024e+00  0.0000e+00    88145936    88145936
  3585.915  2.8015e+00  0.0000e+00    88145936    88145936
  3586.741  2.8007e+00  0.0000e+00    88145936    88145936
  3587.567  2.7998e+00  0.0000e+00    88145936    88145936
  3588.393  2.7989e+00  0.0000e+00    88145936    88145936
  3589.219  2.7981e+00  0.0000e+00    88145936    88145936
  3590.046  2.7972e+00  0.0000e+00    88145936    88145936
