# Mean_MJD=56660.209
# RMID=135 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.317
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0394
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.9713e+01  0.0000e+00    16777216    88080384
  3567.796  1.9711e+01  5.7223e+00           0    71303168
  3568.617  1.5620e+01  0.0000e+00           0    71303168
  3569.439  1.1531e+01  3.7033e+00           0           0
  3570.261  7.1417e+00  3.5177e+00           0           0
  3571.083  1.0181e+01  3.6923e+00           0           0
  3571.906  1.7446e+01  3.7614e+00           0           0
  3572.728  5.2536e+00  3.5236e+00           0           0
  3573.551 -9.5445e-01  3.3803e+00           0           0
  3574.374  6.6489e+00  3.4976e+00           0           0
  3575.197  5.0241e+00  3.5622e+00           0           0
  3576.020  4.8709e+00  3.5406e+00           0           0
  3576.844  1.0568e+01  3.7622e+00           0           0
  3577.668  9.6576e+00  3.8931e+00           0           0
  3578.491  1.1374e+01  3.9864e+00           0           0
  3579.315  1.5106e+01  4.1004e+00           0           0
  3580.140  7.7949e+00  3.7394e+00           0           0
  3580.964  1.7073e+00  3.4766e+00           0           0
  3581.789  3.7341e+00  3.5461e+00           0           0
  3582.614  5.5655e+00  3.5334e+00           0           0
  3583.439  8.7479e+00  3.6999e+00           0           0
  3584.264  1.4022e+01  3.8048e+00           0           0
  3585.089  1.3514e+01  3.8300e+00           0           0
  3585.915  1.2073e+01  3.6998e+00           0           0
  3586.741  1.4587e+01  3.7720e+00           0           0
  3587.567  1.6275e+01  3.7205e+00           0           0
  3588.393  9.5775e+00  3.5742e+00           0           0
  3589.219  1.2673e+01  3.6019e+00           0           0
  3590.046  1.6080e+01  3.7160e+00           0           0
  3590.872  1.6170e+01  3.7244e+00           0           0
  3591.699  1.3315e+01  3.6696e+00           0           0
  3592.526  8.3184e+00  3.4556e+00           0           0
  3593.354  6.7045e+00  3.4039e+00           0           0
  3594.181  1.0997e+01  3.6267e+00           0           0
  3595.009  9.5370e+00  3.4011e+00           0           0
  3595.837  7.8152e+00  3.4625e+00           0           0
  3596.665  1.2338e+01  3.5313e+00           0           0
  3597.493  1.7453e+01  3.6289e+00           0           0
  3598.322  1.2423e+01  3.5039e+00           0           0
  3599.150  1.0843e+01  3.2778e+00           0           0
  3599.979  1.2386e+01  3.4606e+00           0           0
  3600.808  1.0702e+01  3.3630e+00           0           0
  3601.637  6.0240e+00  3.2192e+00           0           0
  3602.467  5.7250e+00  3.1634e+00           0           0
  3603.296  1.0413e+01  3.2941e+00           0           0
  3604.126  7.9369e+00  3.2865e+00           0           0
  3604.956  6.4149e+00  3.1389e+00           0           0
  3605.786  6.9986e+00  3.0099e+00           0           0
  3606.617  7.1034e+00  2.9552e+00           0           0
  3607.447  6.9680e+00  2.9791e+00           0           0
  3608.278  9.9716e+00  3.1358e+00           0           0
  3609.109  1.6536e+01  3.2694e+00           0           0
  3609.940  1.3598e+01  3.2976e+00           0           0
  3610.771  7.9918e+00  3.0598e+00           0           0
  3611.603  6.0678e+00  2.9948e+00           0           0
  3612.434  5.4659e+00  2.9758e+00           0           0
  3613.266  1.0011e+01  3.0274e+00           0           0
  3614.098  9.6693e+00  3.0078e+00           0           0
  3614.931  8.5556e+00  2.9181e+00           0           0
  3615.763  5.2154e+00  2.8265e+00           0           0
  3616.596  6.3814e+00  2.8897e+00           0           0
  3617.429  1.7866e+01  3.2396e+00           0           0
  3618.262  1.3147e+01  3.1673e+00           0           0
  3619.095  1.4529e+01  3.1707e+00           0           0
  3619.928  1.1419e+01  3.0009e+00           0           0
  3620.762  4.1897e+00  2.7022e+00           0           0
  3621.596  5.7608e+00  2.7884e+00           0           0
  3622.430  1.7236e+01  3.0933e+00           0           0
  3623.264  6.1371e+00  2.7834e+00           0           0
  3624.098  8.4841e+00  2.7821e+00           0           0
  3624.933  8.0266e+00  2.6844e+00           0           0
  3625.768  7.6685e+00  2.7284e+00           0           0
  3626.603  8.3093e+00  2.6510e+00           0           0
  3627.438  2.6984e+00  2.5994e+00           0           0
  3628.273  8.0510e+00  2.6963e+00           0           0
  3629.109  9.3624e+00  2.7232e+00           0           0
  3629.944  8.2714e+00  2.6714e+00           0           0
  3630.780  6.6971e+00  2.6702e+00           0           0
  3631.616  6.9880e+00  2.6378e+00           0           0
  3632.453  1.0757e+01  2.7075e+00           0           0
  3633.289  1.1501e+01  2.7756e+00           0           0
  3634.126  9.9972e+00  2.6110e+00           0           0
  3634.963  3.2077e+00  2.4774e+00           0           0
  3635.800  4.7489e+00  2.4863e+00           0           0
  3636.637  1.0173e+01  2.6520e+00           0           0
  3637.475  3.0497e+00  2.6073e+00           0           0
  3638.312  9.6651e+00  2.6475e+00           0           0
  3639.150  2.8598e+00  2.3367e+00           0           0
  3639.988  3.6077e+00  2.2924e+00           0           0
  3640.826  7.5733e+00  2.3765e+00           0           0
  3641.665  7.7160e+00  2.3935e+00           0           0
  3642.503  8.5329e+00  2.3550e+00           0           0
  3643.342  3.2406e+00  2.2132e+00           0           0
  3644.181  4.1259e+00  2.3154e+00           0           0
  3645.021  6.2584e+00  2.3683e+00           0           0
  3645.860  9.6266e+00  2.4193e+00           0           0
  3646.699  9.6231e+00  2.4233e+00           0           0
  3647.539  1.8230e+00  2.2798e+00           0           0
  3648.379  5.5871e+00  2.2834e+00           0           0
  3649.219  3.4697e+00  2.3238e+00           0           0
  3650.060  3.6652e+00  2.3612e+00           0           0
  3650.900  5.2415e+00  2.4926e+00           0           0
  3651.741  5.7814e+00  2.4615e+00           0           0
  3652.582  7.1749e+00  2.4556e+00           0           0
  3653.423  5.5872e+00  2.3225e+00           0           0
  3654.264  5.1029e+00  2.2714e+00           0           0
  3655.106  6.9635e+00  2.3613e+00           0           0
  3655.948  6.4694e+00  2.2557e+00           0           0
  3656.790  4.4672e+00  2.2419e+00           0           0
  3657.632  7.2693e+00  2.2513e+00           0           0
  3658.474  9.0075e+00  2.3132e+00           0           0
  3659.317  1.7237e+00  2.1540e+00           0           0
  3660.159  3.0995e+00  2.1681e+00           0           0
  3661.002  5.8391e+00  2.2789e+00           0           0
  3661.845  4.2380e+00  2.2609e+00           0           0
  3662.688  6.9825e+00  2.2716e+00           0           0
  3663.532  8.7663e+00  2.3163e+00           0           0
  3664.376  3.8594e+00  2.1514e+00           0           0
  3665.219  1.8307e+00  2.1168e+00           0           0
  3666.063  1.9928e+00  1.9359e+00           0           0
  3666.908  4.1629e+00  2.0930e+00           0    33554432
  3667.752  1.0017e+01  2.1549e+00           0    33554432
  3668.597  6.6081e+00  2.0377e+00           0           0
  3669.442  6.7949e+00  2.0326e+00           0           0
  3670.287  8.4568e+00  2.0815e+00           0           0
  3671.132  8.0541e+00  2.0831e+00           0           0
  3671.977  5.7540e+00  1.9416e+00           0           0
  3672.823  4.4424e+00  1.8803e+00           0           0
  3673.669  5.5221e+00  1.8968e+00           0           0
  3674.515  7.7133e+00  1.8795e+00           0           0
  3675.361  4.1036e+00  1.7819e+00           0           0
  3676.207  4.0136e+00  1.8458e+00           0           0
  3677.054  7.8031e+00  1.9556e+00           0           0
  3677.901  3.8801e+00  1.9263e+00           0           0
  3678.747  4.5353e+00  1.8609e+00           0           0
  3679.595  3.4995e+00  1.7899e+00           0           0
  3680.442  2.4481e+00  1.6688e+00           0           0
  3681.290  5.0690e+00  1.7900e+00           0           0
  3682.137  7.2110e+00  1.7638e+00           0           0
  3682.985  2.5705e+00  1.7400e+00           0           0
  3683.833  3.9628e+00  1.7668e+00           0           0
  3684.682  6.8621e+00  1.8130e+00           0           0
  3685.530  3.1501e+00  1.7300e+00           0           0
  3686.379  1.4388e+00  1.6536e+00           0           0
  3687.228  4.6642e+00  1.6495e+00           0           0
  3688.077  4.0999e+00  1.7155e+00           0           0
  3688.926  5.8539e+00  1.8189e+00           0           0
  3689.776  6.1762e+00  1.7895e+00           0           0
  3690.625  5.0044e+00  1.7916e+00           0           0
  3691.475  5.8671e+00  1.7364e+00           0           0
  3692.325  7.0666e+00  1.8497e+00           0           0
  3693.176  3.5166e+00  1.7549e+00           0           0
  3694.026  2.6643e+00  1.7058e+00           0           0
  3694.877  4.1027e+00  1.6989e+00           0           0
  3695.728  3.0969e+00  1.7177e+00           0           0
  3696.579  2.7933e+00  1.6613e+00           0           0
  3697.430  5.6158e+00  1.7612e+00           0           0
  3698.282  7.8296e+00  1.8208e+00           0           0
  3699.133  6.7669e+00  1.8327e+00           0           0
  3699.985  5.6464e+00  1.8333e+00           0           0
  3700.837  7.4873e+00  1.8582e+00           0           0
  3701.689  5.7418e+00  1.8714e+00           0           0
  3702.542  1.1658e+00  1.7165e+00           0           0
  3703.394  3.3150e+00  1.7464e+00           0           0
  3704.247  4.4211e+00  1.7721e+00           0           0
  3705.100  5.5821e+00  1.7670e+00           0           0
  3705.954  6.7740e+00  1.7967e+00           0           0
  3706.807  4.8133e+00  1.6288e+00           0           0
  3707.661  1.1375e+00  1.5620e+00           0           0
  3708.514  1.3850e+00  1.4802e+00           0           0
  3709.368  1.5009e+00  1.4785e+00           0           0
  3710.223  6.8869e-01  1.5276e+00           0           0
  3711.077  4.7861e+00  1.5761e+00           0           0
  3711.932  5.7890e+00  1.6867e+00           0           0
  3712.787  1.8611e+00  1.5547e+00           0           0
  3713.641  3.0872e+00  1.5977e+00           0           0
  3714.497  3.5559e+00  1.5873e+00           0           0
  3715.352  2.6237e+00  1.5275e+00           0           0
  3716.208  5.4265e+00  1.5287e+00           0           0
  3717.063  5.5960e+00  1.5200e+00           0           0
  3717.919  2.7603e+00  1.4238e+00           0           0
  3718.776  5.8637e+00  1.5433e+00           0           0
  3719.632  5.8337e+00  1.4932e+00           0           0
  3720.489  3.6624e+00  1.3992e+00           0           0
  3721.345  4.2551e+00  1.4044e+00           0           0
  3722.202  4.3323e+00  1.4319e+00           0           0
  3723.059  2.7049e+00  1.3792e+00           0           0
  3723.917  4.1718e+00  1.4010e+00           0           0
  3724.774  5.7123e+00  1.4683e+00           0           0
  3725.632  2.9641e+00  1.4195e+00           0           0
  3726.490  3.6505e+00  1.4447e+00           0           0
  3727.348  4.8873e+00  1.4791e+00           0           0
  3728.207  3.6663e+00  1.4598e+00           0           0
  3729.065  4.2281e+00  1.4434e+00           0           0
  3729.924  6.0799e+00  1.4656e+00           0           0
  3730.783  6.2654e+00  1.4783e+00           0           0
  3731.642  5.4206e+00  1.4857e+00           0           0
  3732.501  4.9660e+00  1.4900e+00           0           0
  3733.361  4.4779e+00  1.4707e+00           0           0
  3734.221  3.1039e+00  1.4051e+00           0           0
  3735.081  4.8239e+00  1.4445e+00           0           0
  3735.941  7.0464e+00  1.4829e+00           0           0
  3736.801  3.9673e+00  1.4051e+00           0           0
  3737.662  4.3676e+00  1.4705e+00           0           0
  3738.522  7.8701e+00  1.5451e+00           0           0
  3739.383  2.7707e+00  1.4445e+00           0           0
  3740.244  6.2952e+00  1.5319e+00           0           0
  3741.106  6.5549e+00  1.5084e+00           0           0
  3741.967  4.9290e+00  1.4800e+00           0           0
  3742.829  4.0179e+00  1.4604e+00           0           0
  3743.691  3.8333e+00  1.4115e+00           0           0
  3744.553  3.6352e+00  1.4108e+00           0           0
  3745.415  4.6495e+00  1.4151e+00           0           0
  3746.278  3.9335e+00  1.3435e+00           0           0
  3747.140  2.9568e+00  1.3421e+00           0           0
  3748.003  4.9673e+00  1.3640e+00           0           0
  3748.867  7.7339e+00  1.3743e+00           0           0
  3749.730  4.8590e+00  1.3085e+00           0           0
  3750.593  1.6513e+00  1.2628e+00           0           0
  3751.457  7.5710e+00  1.4325e+00           0           0
  3752.321  7.6669e+00  1.5287e+00           0           0
  3753.185  3.5223e+00  1.3403e+00           0           0
  3754.049  4.5313e+00  1.4218e+00           0           0
  3754.914  9.8490e+00  1.5021e+00           0           0
  3755.779  6.1479e+00  1.4907e+00           0           0
  3756.643  4.4745e+00  1.3771e+00           0           0
  3757.509  6.1100e+00  1.4150e+00           0           0
  3758.374  4.3685e+00  1.2937e+00           0           0
  3759.239  1.0557e+00  1.2308e+00           0           0
  3760.105  5.0927e+00  1.2724e+00           0           0
  3760.971  4.2255e+00  1.3183e+00           0           0
  3761.837  8.4325e+00  1.3637e+00           0           0
  3762.703  5.2850e+00  1.2882e+00           0           0
  3763.570  2.7925e+00  1.2250e+00           0           0
  3764.437  5.0414e+00  1.2425e+00           0           0
  3765.303  1.6627e+00  1.2072e+00           0           0
  3766.170  7.1064e+00  1.2879e+00           0           0
  3767.038  3.0733e+00  1.2776e+00           0           0
  3767.905  4.3404e+00  1.2466e+00           0           0
  3768.773  6.9679e+00  1.3786e+00           0    33554432
  3769.641  4.3519e+00  1.3122e+00           0    33554432
  3770.509  3.9663e+00  1.2033e+00           0           0
  3771.377  6.1446e+00  1.2836e+00           0           0
  3772.246  5.0678e+00  1.3047e+00           0           0
  3773.114  3.7535e+00  1.2362e+00           0           0
  3773.983  4.3360e+00  1.2433e+00           0           0
  3774.852  4.8417e+00  1.2853e+00           0           0
  3775.722  3.2923e+00  1.2697e+00           0           0
  3776.591  5.9583e+00  1.3143e+00           0           0
  3777.461  4.2625e+00  1.2684e+00           0           0
  3778.331  3.8268e+00  1.2400e+00           0           0
  3779.201  4.6063e+00  1.2184e+00           0           0
  3780.071  3.9995e+00  1.1870e+00           0           0
  3780.942  3.3709e+00  1.1683e+00           0           0
  3781.812  4.9065e+00  1.1797e+00           0           0
  3782.683  5.7836e+00  1.1943e+00           0           0
