# Mean_MJD=56660.209
# RMID=199 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.221
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0181
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  3.4217e+00  0.0000e+00    16777216    88080384
  3567.796  3.4213e+00  6.0039e+00           0    71303168
  3568.617  8.0036e+00  0.0000e+00           0    71303168
  3569.439  1.2585e+01  4.4635e+00           0           0
  3570.261  6.2985e+00  4.5125e+00           0           0
  3571.083  1.4095e+01  4.3731e+00           0           0
  3571.906  4.9887e-01  4.1049e+00           0           0
  3572.728  1.0813e+01  4.2688e+00           0           0
  3573.551  1.8349e+01  4.4664e+00           0           0
  3574.374  1.5587e+01  4.3993e+00           0           0
  3575.197  1.0427e+01  4.1561e+00           0           0
  3576.020  4.9673e+00  4.0786e+00           0           0
  3576.844  1.1999e+01  4.1839e+00           0           0
  3577.668  3.8896e+00  4.0512e+00           0           0
  3578.491  1.0304e+01  4.2582e+00           0           0
  3579.315  1.6334e+01  4.3375e+00           0           0
  3580.140  6.6616e+00  4.2589e+00           0           0
  3580.964  6.2872e+00  4.1155e+00           0           0
  3581.789  7.8162e+00  4.1414e+00           0           0
  3582.614  3.9904e+00  3.9051e+00           0           0
  3583.439  1.2962e+01  4.3073e+00           0           0
  3584.264  1.7590e+01  4.2037e+00           0           0
  3585.089  8.6413e+00  4.1701e+00           0           0
  3585.915  1.0425e+01  3.9311e+00           0           0
  3586.741  6.6038e+00  3.7707e+00           0           0
  3587.567  1.2262e+01  4.0481e+00           0           0
  3588.393  8.1424e+00  3.9304e+00           0           0
  3589.219  4.7687e+00  3.7240e+00           0           0
  3590.046  1.1541e+01  3.8430e+00           0           0
  3590.872  9.8866e+00  3.8888e+00           0           0
  3591.699  5.9523e+00  3.6974e+00           0           0
  3592.526  7.4785e+00  3.6848e+00           0           0
  3593.354  9.1619e+00  3.6608e+00           0           0
  3594.181  6.6853e+00  3.6717e+00           0           0
  3595.009  7.2378e+00  3.6514e+00           0           0
  3595.837  1.7988e+01  3.9387e+00           0           0
  3596.665  8.9279e+00  3.6622e+00           0           0
  3597.493  8.9338e+00  3.7121e+00           0           0
  3598.322  7.8916e+00  3.6072e+00           0           0
  3599.150  5.5886e+00  3.6197e+00           0           0
  3599.979  9.0483e+00  3.6635e+00           0           0
  3600.808  1.4122e+01  3.6804e+00           0           0
  3601.637  9.4656e+00  3.5828e+00           0           0
  3602.467  8.7374e+00  3.5296e+00           0           0
  3603.296  7.0470e+00  3.4582e+00           0           0
  3604.126  6.8657e+00  3.3118e+00           0           0
  3604.956  8.7793e+00  3.3325e+00           0           0
  3605.786  6.7601e+00  3.2267e+00           0           0
  3606.617  1.4492e+01  3.3645e+00           0           0
  3607.447  5.9378e+00  3.2268e+00           0           0
  3608.278  4.4594e+00  3.1623e+00           0           0
  3609.109  7.6379e+00  3.1318e+00           0           0
  3609.940  6.4796e+00  3.1471e+00           0           0
  3610.771  1.0975e+01  3.2703e+00           0           0
  3611.603  1.2221e+01  3.2530e+00           0           0
  3612.434  1.0040e+01  3.2407e+00           0           0
  3613.266  7.5919e+00  3.1484e+00           0           0
  3614.098  6.2321e+00  3.1207e+00           0           0
  3614.931  5.7651e+00  3.1086e+00           0           0
  3615.763  6.7097e+00  3.1744e+00           0           0
  3616.596  1.1281e+01  3.4249e+00           0           0
  3617.429  1.1101e+01  3.4086e+00           0           0
  3618.262  1.2935e+01  3.4531e+00           0           0
  3619.095  1.4532e+01  3.4665e+00           0           0
  3619.928  1.1543e+01  3.3868e+00           0           0
  3620.762  8.5123e+00  3.1818e+00           0           0
  3621.596  1.0145e+01  3.0980e+00           0           0
  3622.430  1.3969e+01  3.1660e+00           0           0
  3623.264  1.3644e+01  3.1402e+00           0           0
  3624.098  1.1040e+01  3.1296e+00           0           0
  3624.933  1.1325e+01  3.0763e+00           0           0
  3625.768  1.3628e+01  3.0863e+00           0           0
  3626.603  8.5288e+00  3.0552e+00           0           0
  3627.438  1.3714e+00  2.8091e+00           0           0
  3628.273  3.2370e+00  2.8022e+00           0           0
  3629.109  1.1730e+01  3.0561e+00           0           0
  3629.944  1.3279e+01  3.0257e+00           0           0
  3630.780  1.7402e+00  2.8510e+00           0           0
  3631.616  5.5197e+00  2.9162e+00           0           0
  3632.453  1.4878e+01  3.2203e+00           0           0
  3633.289  1.7288e+01  3.2390e+00           0           0
  3634.126  1.5827e+01  3.2364e+00           0           0
  3634.963  1.6643e+01  3.2012e+00           0           0
  3635.800  1.6646e+01  3.1209e+00           0           0
  3636.637  1.2829e+01  2.9803e+00           0           0
  3637.475  1.1142e+01  2.9671e+00           0           0
  3638.312  7.8296e+00  2.8123e+00           0           0
  3639.150  7.1914e+00  2.8376e+00           0           0
  3639.988  1.1701e+01  2.8773e+00           0           0
  3640.826  1.2839e+01  2.8484e+00           0           0
  3641.665  9.8867e+00  2.7735e+00           0           0
  3642.503  1.4533e+01  2.8694e+00           0           0
  3643.342  1.0781e+01  2.7579e+00           0           0
  3644.181  5.8182e+00  2.6951e+00           0           0
  3645.021  8.8611e+00  2.7455e+00           0           0
  3645.860  8.7609e+00  2.7149e+00           0           0
  3646.699  1.0116e+01  2.7232e+00           0           0
  3647.539  7.3230e+00  2.5511e+00           0           0
  3648.379  5.7917e+00  2.4655e+00           0           0
  3649.219  9.6821e+00  2.6361e+00           0           0
  3650.060  1.4051e+01  2.8244e+00           0           0
  3650.900  1.1460e+01  2.8514e+00           0           0
  3651.741  1.6344e+01  2.9064e+00           0           0
  3652.582  1.2744e+01  2.7949e+00           0           0
  3653.423  6.2276e+00  3.0391e+00           0    33554432
  3654.264  8.6575e+00  3.0145e+00           0    33554432
  3655.106  1.5207e+01  2.6986e+00           0           0
  3655.948  7.7696e+00  2.6168e+00           0           0
  3656.790  7.0566e+00  2.5242e+00           0           0
  3657.632  6.0242e+00  2.4329e+00           0           0
  3658.474  5.9112e+00  2.3673e+00           0           0
  3659.317  6.8750e+00  2.4083e+00           0           0
  3660.159  7.9449e+00  2.4343e+00           0           0
  3661.002  9.1707e+00  2.4449e+00           0           0
  3661.845  7.6284e+00  2.4866e+00           0           0
  3662.688  8.5562e+00  2.6165e+00           0           0
  3663.532  9.7333e+00  2.5773e+00           0           0
  3664.376  8.8836e+00  2.4723e+00           0           0
  3665.219  9.0839e+00  2.4434e+00           0           0
  3666.063  1.4313e+01  2.4799e+00           0           0
  3666.908  1.2328e+01  2.3634e+00           0           0
  3667.752  1.0122e+01  2.2520e+00           0           0
  3668.597  6.3015e+00  2.2351e+00           0           0
  3669.442  7.0373e+00  2.2370e+00           0           0
  3670.287  1.3966e+01  2.3818e+00           0           0
