# Mean_MJD=56660.209
# RMID=170 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.163
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0841
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  5.3599e-03  0.0000e+00    88080384    88080384
  3567.796  5.3582e-03  0.0000e+00    88080384    88080384
  3568.617  5.3564e-03  0.0000e+00    88080384    88080384
  3569.439  5.3547e-03  0.0000e+00    88080384    88080384
  3570.261  5.3530e-03  0.0000e+00    88080384    88080384
  3571.083  5.3513e-03  0.0000e+00    88080384    88080384
  3571.906  5.3496e-03  0.0000e+00    88080384    88080384
  3572.728  5.3479e-03  0.0000e+00    88080384    88080384
  3573.551  5.3462e-03  0.0000e+00    88080384    88080384
  3574.374  5.3446e-03  0.0000e+00    88080384    88080384
  3575.197  5.3429e-03  0.0000e+00    88080384    88080384
  3576.020  5.3412e-03  0.0000e+00    88080384    88080384
  3576.844  5.3395e-03  0.0000e+00    88080384    88080384
  3577.668  5.3378e-03  0.0000e+00    88080384    88080384
  3578.491  5.3362e-03  0.0000e+00    88080384    88080384
  3579.315  5.3345e-03  0.0000e+00    88080384    88080384
  3580.140  5.3328e-03  0.0000e+00    88080384    88080384
  3580.964  5.3311e-03  0.0000e+00    88080384    88080384
  3581.789  5.3295e-03  0.0000e+00    88080384    88080384
  3582.614  5.3278e-03  0.0000e+00    88080384    88080384
  3583.439  5.3262e-03  0.0000e+00    88080384    88080384
  3584.264  5.3245e-03  0.0000e+00    88080384    88080384
  3585.089  5.3229e-03  0.0000e+00    88080384    88080384
  3585.915  5.3212e-03  0.0000e+00    88080384    88080384
  3586.741  5.3196e-03  0.0000e+00    88080384    88080384
  3587.567  5.3179e-03  0.0000e+00    88080384    88080384
  3588.393  5.3163e-03  0.0000e+00    88080384    88080384
  3589.219  5.3146e-03  0.0000e+00    88080384    88080384
  3590.046  5.3130e-03  0.0000e+00    88080384    88080384
  3590.872  5.3114e-03  0.0000e+00    88080384    88080384
  3591.699  5.3097e-03  0.0000e+00    88080384    88080384
  3592.526  5.3081e-03  0.0000e+00    88080384    88080384
  3593.354  5.3065e-03  0.0000e+00    88080384    88080384
  3594.181  5.3049e-03  0.0000e+00    88080384    88080384
  3595.009  5.3032e-03  0.0000e+00    88080384    88080384
  3595.837  5.3016e-03  0.0000e+00    88080384    88080384
  3596.665  5.3000e-03  0.0000e+00    88080384    88080384
  3597.493  5.2984e-03  0.0000e+00    88080384    88080384
  3598.322  5.2968e-03  0.0000e+00    88080384    88080384
  3599.150  5.2952e-03  0.0000e+00    88080384    88080384
  3599.979  5.2936e-03  0.0000e+00    88080384    88080384
  3600.808  5.2920e-03  0.0000e+00    88080384    88080384
  3601.637  5.2904e-03  0.0000e+00    88080384    88080384
  3602.467  5.2888e-03  0.0000e+00    88080384    88080384
  3603.296  5.2872e-03  0.0000e+00    88080384    88080384
  3604.126  5.2856e-03  0.0000e+00    88080384    88080384
  3604.956  5.2840e-03  0.0000e+00    88080384    88080384
  3605.786  5.2824e-03  0.0000e+00    88080384    88080384
  3606.617  5.2808e-03  0.0000e+00    88080384    88080384
  3607.447  5.2793e-03  0.0000e+00    88080384    88080384
  3608.278  5.2777e-03  0.0000e+00    88080384    88080384
  3609.109  5.2761e-03  0.0000e+00    88080384    88080384
  3609.940  5.2745e-03  0.0000e+00    88080384    88080384
  3610.771  5.2730e-03  0.0000e+00    16777216    88080384
  3611.603  5.2714e-03  0.0000e+00    16777216    88080384
  3612.434  5.2698e-03  4.6810e+00           0           0
  3613.266  7.2159e+00  4.7189e+00           0           0
  3614.098  3.5038e+00  4.6808e+00           0           0
  3614.931 -1.8883e-01  4.4367e+00           0           0
  3615.763  3.5818e-02  4.3649e+00           0           0
  3616.596  4.7482e+00  4.5293e+00           0           0
  3617.429  1.8331e+01  4.6794e+00           0           0
  3618.262  1.0235e-01  4.4338e+00           0           0
  3619.095  9.2382e+00  4.6698e+00           0           0
  3619.928  1.4929e+01  4.7135e+00           0           0
  3620.762  1.0262e+01  4.4497e+00           0           0
  3621.596  7.4823e+00  4.2787e+00           0           0
  3622.430 -5.5131e-01  4.1580e+00           0           0
  3623.264  5.8825e+00  4.0577e+00           0           0
  3624.098  1.0328e+01  4.3120e+00           0           0
  3624.933  6.6774e+00  4.2235e+00           0           0
  3625.768  2.8340e+00  4.1576e+00           0           0
  3626.603  4.3868e+00  4.0856e+00           0           0
  3627.438  4.0336e+00  4.0513e+00           0           0
  3628.273  2.4925e+00  3.9027e+00           0           0
  3629.109  4.1573e+00  3.8793e+00           0           0
  3629.944  3.4258e+00  3.9170e+00           0           0
  3630.780  5.1893e+00  3.8960e+00           0           0
  3631.616  1.4719e+01  4.6678e+00           0    33554432
  3632.453  1.9278e+01  4.6837e+00           0    33554432
  3633.289  1.2683e+00  3.9083e+00           0           0
  3634.126  1.3727e+00  3.7198e+00           0           0
  3634.963  1.0066e+01  4.0114e+00           0           0
  3635.800  9.1582e+00  3.7802e+00           0           0
  3636.637  9.8392e-01  3.5599e+00           0           0
  3637.475  4.7969e+00  3.6019e+00           0           0
  3638.312  6.3887e+00  3.5721e+00           0           0
  3639.150  4.0348e+00  3.6020e+00           0           0
  3639.988  5.5073e+00  3.5679e+00           0           0
  3640.826  9.1965e+00  3.7880e+00           0           0
  3641.665  9.9820e+00  3.7258e+00           0           0
  3642.503  1.0309e+01  3.7683e+00           0           0
  3643.342  1.1550e+01  3.7465e+00           0           0
  3644.181  6.7518e+00  3.4868e+00           0           0
  3645.021  1.6881e+00  3.2920e+00           0           0
  3645.860  9.0553e-01  3.2670e+00           0           0
  3646.699  4.2674e+00  3.3219e+00           0           0
  3647.539  8.0006e+00  3.4352e+00           0           0
  3648.379  3.9950e+00  3.4737e+00           0           0
  3649.219  3.5018e+00  3.3821e+00           0           0
  3650.060  7.4058e+00  3.8440e+00           0       65536
  3650.900  8.6985e+00  4.4836e+00           0       65536
  3651.741  4.3217e+00  4.9645e+00       65536       65536
  3652.582  1.0849e+00  4.2524e+00           0       65536
  3653.423 -6.9551e-01  3.5745e+00           0       65536
  3654.264  8.3187e+00  3.5027e+00           0       65536
  3655.106  8.6368e+00  3.4689e+00           0           0
  3655.948  3.0509e+00  3.2668e+00           0           0
  3656.790  3.5050e+00  3.2833e+00           0           0
  3657.632  3.1635e+00  3.1553e+00           0           0
  3658.474  5.4888e+00  3.1067e+00           0           0
  3659.317  5.5623e+00  3.1003e+00           0           0
  3660.159  3.2411e-01  2.8886e+00           0           0
  3661.002  7.0883e-02  2.9216e+00           0           0
  3661.845  5.1480e+00  2.8815e+00           0           0
  3662.688 -2.6155e+00  2.9022e+00           0           0
  3663.532  8.5694e+00  3.0694e+00           0           0
  3664.376  2.5648e+00  3.0484e+00           0           0
  3665.219  5.6880e+00  2.9952e+00           0           0
  3666.063  8.6388e+00  3.1282e+00           0           0
  3666.908 -2.7182e+00  2.7857e+00           0           0
  3667.752  5.9115e+00  2.9591e+00           0           0
  3668.597  1.2714e+01  3.0583e+00           0           0
  3669.442  4.9662e+00  2.8045e+00           0           0
  3670.287  4.1121e+00  2.6704e+00           0           0
  3671.132  8.1070e+00  2.9418e+00           0           0
  3671.977  5.7968e+00  2.8203e+00           0           0
  3672.823  7.3640e+00  2.8388e+00           0           0
  3673.669  6.6030e+00  2.7334e+00           0           0
  3674.515  6.8795e-01  2.5433e+00           0           0
  3675.361  1.2723e+00  2.5454e+00           0           0
  3676.207  6.3912e+00  2.5333e+00           0           0
  3677.054  6.2396e+00  2.6112e+00           0           0
  3677.901  2.6855e+00  2.5705e+00           0           0
  3678.747  7.5166e+00  2.6356e+00           0           0
  3679.595  8.8848e+00  2.6803e+00           0           0
  3680.442  5.3067e+00  2.4672e+00           0           0
  3681.290  4.6131e+00  2.4409e+00           0           0
  3682.137  6.8249e+00  2.5484e+00           0           0
  3682.985  3.3305e-01  2.3858e+00           0           0
  3683.833  5.5550e+00  2.4786e+00           0           0
  3684.682  3.7326e-01  2.4016e+00           0           0
  3685.530  4.4187e+00  2.3972e+00           0           0
  3686.379  1.1912e+01  2.6010e+00           0           0
  3687.228  7.5112e+00  2.5003e+00           0           0
  3688.077  5.5647e+00  2.3668e+00           0           0
  3688.926  1.5234e+00  2.2666e+00           0           0
  3689.776  7.1544e+00  2.3707e+00           0           0
  3690.625  8.1682e+00  2.3863e+00           0           0
  3691.475  4.9810e+00  2.3352e+00           0           0
  3692.325  6.1685e+00  2.3003e+00           0           0
  3693.176  5.8083e+00  2.2427e+00           0           0
  3694.026  4.0996e+00  2.1980e+00           0           0
  3694.877  4.4749e+00  2.2035e+00           0           0
  3695.728  3.7092e+00  2.1021e+00           0           0
  3696.579  2.2660e+00  2.0573e+00           0           0
  3697.430  3.1960e+00  2.0937e+00           0           0
  3698.282  5.9935e+00  2.2718e+00           0           0
  3699.133  8.0872e+00  2.3876e+00           0           0
  3699.985  6.4150e+00  2.3363e+00           0           0
  3700.837  5.4332e+00  2.3049e+00           0           0
  3701.689  5.6468e+00  2.3343e+00           0           0
  3702.542  5.1606e+00  2.3098e+00           0           0
  3703.394  5.9777e+00  2.3165e+00           0           0
  3704.247  9.0553e+00  2.3858e+00           0           0
  3705.100  9.2779e+00  2.3381e+00           0           0
  3705.954  8.2401e+00  2.2431e+00           0           0
  3706.807  5.8492e+00  2.1250e+00           0           0
  3707.661  3.5316e+00  2.0264e+00           0           0
  3708.514  5.9126e+00  2.0533e+00           0           0
  3709.368 -8.0903e-02  1.8598e+00           0           0
  3710.223  3.3316e+00  1.9389e+00           0           0
  3711.077  4.6285e+00  1.9836e+00           0           0
  3711.932  5.6314e+00  2.0521e+00           0           0
  3712.787  1.0744e+01  2.1256e+00           0           0
  3713.641  4.1242e+00  2.0020e+00           0           0
  3714.497  1.5074e+00  1.9257e+00           0           0
  3715.352  5.1685e+00  1.9911e+00           0           0
  3716.208  7.3546e+00  2.0576e+00           0           0
  3717.063  6.9847e+00  1.9726e+00           0           0
  3717.919  6.5815e+00  1.8975e+00           0           0
  3718.776  5.2290e+00  1.8404e+00           0           0
  3719.632  9.9123e+00  1.9840e+00           0           0
