# Mean_MJD=56660.209
# RMID=081 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.584
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0238
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -2.6089e+00  6.3823e+00           0    71303168
  3567.796 -7.3965e+00  6.3699e+00           0    71303168
  3663.532  3.4753e+00  2.4224e+00           0           0
  3664.376  3.4244e+00  2.3244e+00           0           0
  3665.219  5.7495e+00  2.3554e+00           0           0
  3666.063  6.8977e+00  2.2937e+00           0           0
  3666.908  7.9986e+00  2.2821e+00           0           0
  3667.752  8.5961e+00  2.2305e+00           0           0
  3668.597  8.8758e+00  2.2792e+00           0           0
  3669.442  9.7163e+00  2.2964e+00           0           0
  3670.287  6.6138e+00  2.2545e+00           0           0
  3671.132  8.0529e+00  2.2562e+00           0           0
  3671.977  1.1017e+01  2.5807e+00           0    33554432
  3672.823  8.7216e+00  2.5517e+00           0    33554432
  3673.669  3.7798e+00  2.0781e+00           0           0
  3674.515  5.3882e+00  2.0871e+00           0           0
  3675.361  3.2091e+00  2.0041e+00           0           0
  3676.207  3.5325e+00  1.9262e+00           0           0
  3677.054  6.4615e+00  2.0823e+00           0           0
  3677.901  5.5478e+00  2.0836e+00           0           0
  3678.747  1.3831e+00  2.0483e+00           0           0
  3679.595  2.7384e+00  1.9486e+00           0           0
  3680.442  4.0312e+00  1.9740e+00           0           0
  3681.290  1.1651e+01  2.3186e+00           0    33554432
  3682.137  7.3517e+00  2.0640e+00           0    33554432
  3682.985  1.2175e+00  1.8399e+00           0           0
  3683.833  4.4293e+00  1.8312e+00           0           0
  3684.682  6.6587e+00  1.9167e+00           0           0
  3685.530  6.6138e+00  1.8969e+00           0           0
  3686.379  4.3608e+00  1.8906e+00           0           0
  3687.228  3.9743e+00  1.7995e+00           0           0
  3688.077  3.5197e+00  1.7642e+00           0           0
  3688.926  2.0570e+00  1.6555e+00           0           0
  3689.776  3.5283e+00  1.7045e+00           0           0
  3690.625  5.7463e+00  1.8570e+00           0           0
  3691.475  3.7540e+00  1.8096e+00           0           0
  3692.325  3.5377e+00  1.8228e+00           0           0
  3693.176  4.3801e+00  1.8282e+00           0           0
  3694.026  3.1478e+00  1.7979e+00           0           0
  3694.877  2.2231e+00  1.8091e+00           0           0
  3695.728  7.0352e+00  1.8606e+00           0           0
  3696.579  6.2390e+00  1.8265e+00           0           0
  3697.430  6.4479e+00  1.8048e+00           0           0
  3698.282  5.8337e+00  1.8416e+00           0           0
  3699.133  3.7514e+00  1.8445e+00           0           0
  3699.985  7.0386e+00  1.9097e+00           0           0
  3700.837  9.0288e+00  1.9698e+00           0           0
  3701.689  6.6677e+00  1.8727e+00           0           0
  3702.542  7.3825e+00  1.9433e+00           0           0
  3703.394  7.9746e+00  1.9207e+00           0           0
  3704.247  5.7127e+00  1.9145e+00           0           0
  3705.100  5.6048e+00  1.9264e+00           0    33554432
  3705.954  4.4484e+00  1.8655e+00           0    33554432
  3706.807  5.8640e+00  1.8454e+00           0           0
  3707.661  5.7424e+00  1.7112e+00           0           0
  3708.514  3.5060e+00  1.6221e+00           0           0
  3709.368  2.8597e+00  1.5958e+00           0           0
  3710.223  5.4960e+00  1.6287e+00           0           0
  3711.077  3.5489e+00  1.6653e+00           0           0
  3711.932  6.3302e+00  1.7224e+00           0           0
  3712.787  6.1520e+00  1.6989e+00           0           0
  3713.641  5.1579e+00  1.6923e+00           0           0
  3714.497  5.7778e+00  1.6547e+00           0           0
  3715.352  4.1093e+00  1.6618e+00           0           0
  3716.208  7.9117e+00  1.6793e+00           0           0
  3717.063  8.0276e+00  1.6524e+00           0           0
  3717.919  5.9212e+00  1.5700e+00           0           0
  3718.776  3.7510e+00  1.5222e+00           0           0
  3719.632  2.7935e+00  1.4808e+00           0           0
  3720.489  3.9093e+00  1.4422e+00           0           0
  3721.345  4.7695e+00  1.4337e+00           0           0
  3722.202  4.9469e+00  1.4791e+00           0           0
  3723.059  3.9680e+00  1.4550e+00           0           0
  3723.917  3.7367e+00  1.5062e+00           0           0
  3724.774  3.3714e+00  1.4086e+00           0           0
  3725.632  1.0272e+00  1.4193e+00           0           0
  3726.490  7.0903e+00  1.5283e+00           0           0
  3727.348  7.7044e+00  1.5914e+00           0           0
  3728.207  5.8867e+00  1.4874e+00           0           0
  3729.065  5.3378e+00  1.4601e+00           0           0
  3729.924  6.2488e+00  1.4905e+00           0           0
  3730.783  6.8346e+00  1.4874e+00           0           0
  3731.642  5.3337e+00  1.4557e+00           0           0
  3732.501  6.9520e+00  1.4504e+00           0           0
  3733.361  3.9883e+00  1.4449e+00           0           0
  3734.221  3.1294e+00  1.3812e+00           0           0
  3735.081  6.7086e+00  1.4104e+00           0           0
  3735.941  4.5914e+00  1.3805e+00           0           0
  3736.801  7.8065e+00  1.4638e+00           0           0
  3737.662  5.4547e+00  1.4659e+00           0           0
  3738.522  6.0012e+00  1.4931e+00           0           0
  3739.383  6.6345e+00  1.4922e+00           0           0
  3740.244  5.5776e+00  1.4558e+00           0           0
  3741.106  8.9646e+00  1.5142e+00           0           0
  3741.967  5.0373e+00  1.4105e+00           0           0
  3742.829  5.0556e+00  1.3776e+00           0           0
  3743.691  4.1708e+00  1.3591e+00           0           0
  3744.553  4.0402e+00  1.3437e+00           0           0
  3745.415  5.9693e+00  1.3601e+00           0           0
  3746.278  5.0761e+00  1.3539e+00           0           0
  3747.140  5.5390e+00  1.3751e+00           0           0
  3748.003  4.7423e+00  1.2980e+00           0           0
  3748.867  4.8008e+00  1.2845e+00           0           0
  3749.730  4.4943e+00  1.2297e+00           0           0
  3750.593  4.2543e+00  1.3042e+00           0           0
  3751.457  7.1184e+00  1.3915e+00           0           0
  3752.321  6.5615e+00  1.4358e+00           0           0
  3753.185  7.8242e+00  1.4114e+00           0           0
  3754.049  6.7006e+00  1.3766e+00           0           0
  3754.914  4.8484e+00  1.3468e+00           0           0
  3755.779  5.2381e+00  1.3692e+00           0           0
  3756.643  6.1872e+00  1.3924e+00           0           0
  3757.509  6.6654e+00  1.3648e+00           0           0
  3758.374  5.8329e+00  1.3074e+00           0           0
  3759.239  4.9225e+00  1.4360e+00           0    33554432
  3760.105  6.0176e+00  1.5291e+00           0    33554432
  3760.971  7.6512e+00  1.3719e+00           0           0
  3761.837  6.0299e+00  1.3154e+00           0           0
  3762.703  6.3987e+00  1.2963e+00           0           0
  3763.570  7.9863e+00  1.3544e+00           0           0
  3764.437  7.2759e+00  1.3280e+00           0           0
  3765.303  5.1622e+00  1.3052e+00           0           0
  3766.170  4.4994e+00  1.3000e+00           0           0
  3767.038  5.6964e+00  1.2977e+00           0           0
  3767.905  5.4864e+00  1.2474e+00           0           0
  3768.773  6.2824e+00  1.2371e+00           0           0
  3769.641  5.1401e+00  1.2248e+00           0           0
  3770.509  4.8282e+00  1.2616e+00           0           0
  3771.377  5.9393e+00  1.2730e+00           0           0
  3772.246  3.8973e+00  1.2697e+00           0           0
  3773.114  4.9388e+00  1.3121e+00           0           0
  3773.983  6.5590e+00  1.3228e+00           0           0
  3774.852  7.4172e+00  1.3640e+00           0           0
  3775.722  6.2323e+00  1.3134e+00           0           0
  3776.591  4.8790e+00  1.3122e+00           0           0
  3777.461  7.2702e+00  1.3442e+00           0           0
  3778.331  8.1021e+00  1.3314e+00           0           0
  3779.201  4.6931e+00  1.2308e+00           0           0
  3780.071  3.4832e+00  1.1899e+00           0           0
  3780.942  4.6681e+00  1.2162e+00           0           0
  3781.812  5.0772e+00  1.2220e+00           0           0
  3782.683  4.1163e+00  1.1868e+00           0           0
  3783.554  3.7948e+00  1.2081e+00           0           0
  3784.426  8.3200e+00  1.2921e+00           0           0
  3785.297  5.9943e+00  1.2596e+00           0           0
  3786.169  3.2326e+00  1.1800e+00           0           0
  3787.041  5.6187e+00  1.2226e+00           0           0
  3787.913  4.5158e+00  1.2022e+00           0           0
  3788.785  5.5068e+00  1.1995e+00           0           0
  3789.658  5.2839e+00  1.1904e+00           0           0
  3790.530  4.9164e+00  1.1995e+00           0           0
  3791.403  6.5609e+00  1.2058e+00           0           0
  3792.276  7.6844e+00  1.2395e+00           0           0
  3793.150  4.1492e+00  1.2262e+00           0           0
  3794.023  5.8557e+00  1.2368e+00           0           0
  3794.897  6.5063e+00  1.2677e+00           0           0
  3795.771  5.1736e+00  1.1860e+00           0           0
  3796.645  4.4710e+00  1.1556e+00           0           0
  3797.519  5.7380e+00  1.1427e+00           0           0
  3798.394  6.7830e+00  1.1716e+00           0           0
  3799.268  5.3787e+00  1.1492e+00           0           0
  3800.143  7.2343e+00  1.3152e+00           0    33554432
  3801.018  7.1670e+00  1.2636e+00           0    33554432
  3801.894  5.4060e+00  1.1377e+00           0           0
  3802.769  4.8701e+00  1.1572e+00           0           0
  3803.645  5.5710e+00  1.1846e+00           0           0
  3804.521  6.9685e+00  1.2124e+00           0           0
  3805.397  5.1935e+00  1.1484e+00           0           0
  3806.273  4.5684e+00  1.1316e+00           0           0
  3807.150  5.6955e+00  1.1266e+00           0           0
  3808.027  5.8475e+00  1.0955e+00           0           0
  3808.904  3.9289e+00  1.0568e+00           0           0
  3809.781  3.6912e+00  1.0291e+00           0           0
  3810.658  4.1150e+00  1.0411e+00           0           0
  3811.536  3.3919e+00  1.0799e+00           0    33554432
  3812.413  3.8192e+00  1.1136e+00           0    33554432
  3813.291  5.7192e+00  1.1042e+00           0           0
  3814.169  5.7485e+00  1.1471e+00           0           0
