# Mean_MJD=56660.209
# RMID=097 SOURCE_TYPE=RM_TILE2
# ZFINAL=2.438
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0307
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -2.1930e-01  0.0000e+00    16777216    88080384
  3567.796 -2.1927e-01  4.3432e+00           0    71303168
  3568.617  8.2161e-01  0.0000e+00           0    71303168
  3569.439  1.8623e+00  3.1394e+00           0           0
  3570.261 -2.2051e-01  3.1402e+00           0           0
  3571.083  4.1549e-01  3.0683e+00           0           0
  3571.906 -5.6405e+00  2.9844e+00           0           0
  3572.728 -3.6160e+00  2.9333e+00           0           0
  3573.551 -5.6002e+00  2.8525e+00           0           0
  3574.374 -3.2412e-01  2.9829e+00           0           0
  3575.197  4.7643e+00  3.0215e+00           0           0
  3576.020 -8.0067e-01  2.9468e+00           0           0
  3576.844 -4.0851e+00  2.9132e+00           0           0
  3577.668  4.3715e+00  3.1119e+00           0           0
  3578.491  5.1660e+00  3.2986e+00           0           0
  3579.315  3.1096e+00  3.1357e+00           0           0
  3580.140  9.4734e-01  3.2213e+00           0           0
  3580.964 -2.2674e+00  3.1193e+00           0           0
  3581.789 -2.4144e+00  3.0558e+00           0           0
  3582.614  3.7174e+00  3.0769e+00           0           0
  3583.439  3.4429e+00  3.1989e+00           0           0
  3584.264  3.9550e+00  3.2338e+00           0           0
  3585.089  2.5184e+00  3.1633e+00           0           0
  3585.915 -6.2074e-01  3.0402e+00           0           0
  3586.741  6.4193e+00  3.0054e+00           0           0
  3587.567 -9.0214e-01  2.8553e+00           0           0
  3588.393  1.3389e+00  2.7784e+00           0           0
  3589.219  2.6191e+00  2.8133e+00           0           0
  3590.046  5.8722e-01  2.6411e+00           0           0
  3590.872  1.2290e+00  2.5991e+00           0           0
  3591.699  1.8620e+00  2.6061e+00           0           0
  3592.526 -7.6185e-01  2.6616e+00           0           0
  3593.354 -2.7720e-01  2.5360e+00           0           0
  3594.181 -1.7711e-01  2.6783e+00           0           0
  3595.009 -7.2837e-03  2.6465e+00           0           0
  3595.837  1.2601e+00  2.6442e+00           0           0
  3596.665  1.0464e-01  2.6238e+00           0           0
  3597.493  1.4281e+00  2.6019e+00           0           0
  3598.322 -1.2431e+00  2.5096e+00           0           0
  3599.150  1.9317e+00  2.6724e+00           0           0
  3599.979  6.7019e+00  2.8481e+00           0           0
  3600.808  2.2326e+00  2.7082e+00           0           0
  3601.637 -6.3145e+00  2.4926e+00           0           0
  3602.467  9.5205e-01  2.4841e+00           0           0
  3603.296  1.7580e-01  2.6000e+00           0           0
  3604.126 -2.5768e+00  2.3929e+00           0           0
  3604.956 -5.6726e-01  2.4747e+00           0           0
  3605.786  2.7959e+00  2.5477e+00           0           0
  3606.617  1.5898e+00  2.5396e+00           0           0
  3607.447  2.7881e+00  2.3995e+00           0           0
  3608.278  3.9629e-01  2.4991e+00           0           0
  3609.109 -2.1776e-01  2.3926e+00           0           0
  3609.940  2.4730e+00  2.3962e+00           0           0
  3610.771  3.1640e+00  2.2786e+00           0           0
  3611.603 -2.2717e+00  2.1549e+00           0           0
  3612.434 -3.5323e+00  2.1647e+00           0           0
  3613.266 -5.2457e-01  2.2826e+00           0           0
  3614.098  2.8563e+00  2.3430e+00           0           0
  3614.931  3.3069e+00  2.3750e+00           0           0
  3615.763  1.5495e+00  2.3804e+00           0           0
  3616.596  1.3940e+00  2.4063e+00           0           0
  3617.429 -1.1888e+00  2.3134e+00           0           0
  3618.262  6.7765e-01  2.3774e+00           0           0
  3619.095  1.0988e+00  2.4019e+00           0           0
  3619.928  9.9974e-01  2.4478e+00           0           0
  3620.762  2.7355e+00  2.3814e+00           0           0
  3621.596  5.4506e-01  2.2117e+00           0           0
  3622.430 -1.3239e+00  2.1410e+00           0           0
  3623.264  2.4306e+00  2.3412e+00           0           0
  3624.098  1.7328e+00  2.2389e+00           0           0
  3624.933 -8.6238e-01  2.1535e+00           0           0
  3625.768  1.1301e+00  2.1711e+00           0           0
  3626.603  1.6069e+00  2.1860e+00           0           0
  3627.438  2.7423e-01  2.2411e+00           0           0
  3628.273  2.4669e+00  2.2457e+00           0           0
  3629.109  1.6435e+00  2.2360e+00           0           0
  3629.944  3.6144e-01  2.2119e+00           0           0
  3630.780  2.9267e+00  2.3231e+00           0           0
  3631.616  3.1273e+00  2.3536e+00           0           0
  3632.453  2.6482e+00  2.4571e+00           0           0
  3633.289  3.9016e-01  2.2873e+00           0           0
  3634.126  3.6347e+00  2.3905e+00           0           0
  3634.963  5.5350e+00  2.2666e+00           0           0
  3635.800 -4.9840e-02  2.1001e+00           0           0
  3636.637 -6.8336e-01  2.1252e+00           0           0
  3637.475  2.1089e+00  2.2184e+00           0           0
  3638.312  1.0458e+00  2.0887e+00           0           0
  3639.150  9.4819e-01  2.0658e+00           0           0
  3639.988  1.9207e+00  2.0533e+00           0           0
  3640.826  1.2331e+00  1.9963e+00           0           0
  3641.665  1.2786e+00  2.0416e+00           0           0
  3642.503  2.3490e+00  2.0815e+00           0           0
  3643.342  3.1302e+00  2.0479e+00           0           0
  3644.181  1.8519e+00  2.0283e+00           0           0
  3645.021  1.2329e+00  1.9836e+00           0           0
  3645.860  1.4986e+00  1.9711e+00           0           0
  3646.699 -1.8714e+00  1.8839e+00           0           0
  3647.539  4.5900e+00  2.0775e+00           0           0
  3648.379  1.2585e+00  1.9767e+00           0           0
  3649.219  4.2234e-01  1.9986e+00           0           0
  3650.060  1.3639e+00  2.0712e+00           0           0
  3650.900 -1.8812e+00  2.0591e+00           0           0
  3651.741  2.0094e-01  2.0833e+00           0           0
  3652.582 -3.8554e+00  1.8781e+00           0           0
  3653.423 -2.3907e+00  1.7965e+00           0           0
  3654.264  2.5008e+00  1.9018e+00           0           0
  3655.106  4.3164e+00  2.0249e+00           0           0
  3655.948  1.7102e+00  2.0059e+00           0           0
  3656.790  9.8974e-01  1.9072e+00           0           0
  3657.632  3.9921e+00  1.9389e+00           0           0
  3658.474  1.9136e+00  1.7948e+00           0           0
  3659.317  2.8876e+00  1.8956e+00           0           0
  3660.159  5.7559e+00  1.9867e+00           0    33554432
  3661.002  3.3106e+00  1.9293e+00           0    33554432
  3661.845 -1.4836e+00  1.7707e+00           0           0
  3662.688 -2.1962e-01  1.8270e+00           0           0
  3663.532  1.9417e+00  1.9061e+00           0           0
  3664.376  1.2233e+00  1.8888e+00           0           0
  3665.219 -6.3942e-01  1.7972e+00           0           0
  3666.063 -2.7215e-01  1.7543e+00           0           0
  3666.908  1.5402e+00  1.6980e+00           0           0
  3667.752  9.8873e-02  1.6201e+00           0           0
  3668.597  1.0417e+00  1.6447e+00           0           0
  3669.442  2.1302e-01  1.6358e+00           0           0
  3670.287 -4.9025e-01  1.6816e+00           0           0
  3671.132  2.1162e+00  1.6689e+00           0           0
  3671.977  2.1867e+00  1.6711e+00           0           0
  3672.823 -2.4839e-01  1.6119e+00           0           0
  3673.669  5.7410e-01  1.5791e+00           0           0
  3674.515  1.6455e+00  1.5321e+00           0           0
  3675.361  1.0928e+00  1.5572e+00           0           0
  3676.207 -3.4453e-01  1.5470e+00           0           0
  3677.054 -1.4927e+00  1.5146e+00           0           0
  3677.901  1.8065e+00  1.6303e+00           0           0
  3678.747 -5.3657e-01  1.5236e+00           0           0
  3679.595  1.8014e-01  1.5756e+00           0           0
  3680.442  1.8505e+00  1.5121e+00           0           0
  3681.290 -6.1185e-01  1.4709e+00           0           0
  3682.137  1.7111e+00  1.5145e+00           0           0
  3682.985  2.0564e+00  1.5100e+00           0           0
  3683.833  1.0127e+00  1.4847e+00           0           0
  3684.682  1.4014e+00  1.5325e+00           0           0
  3685.530  2.4889e+00  1.5258e+00           0           0
  3686.379  1.9821e+00  1.4900e+00           0           0
  3687.228  4.4064e-01  1.4154e+00           0           0
