# Mean_MJD=56660.209
# RMID=194 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.562
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0342
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.1832e+01  0.0000e+00    16777216    88080384
  3567.796  1.1830e+01  5.4763e+00           0    71303168
  3568.617  7.6813e+00  0.0000e+00           0    67108864
  3569.439  3.5334e+00  3.5760e+00           0           0
  3570.261 -1.6843e+00  3.5744e+00           0           0
  3571.083 -4.8006e+00  3.3525e+00           0           0
  3571.906  4.2570e+00  3.4881e+00           0           0
  3572.728  1.8294e+00  3.5532e+00           0           0
  3573.551  6.3587e+00  3.7121e+00           0           0
  3574.374 -4.5248e+00  3.8156e+00           0    33554432
  3575.197 -9.6341e+00  3.6063e+00           0    33554432
  3576.020 -2.1882e+00  3.4533e+00           0           0
  3576.844  4.4659e+00  3.5374e+00           0           0
  3577.668 -1.0671e+00  3.5097e+00           0           0
  3578.491 -5.6331e-01  3.4276e+00           0           0
  3579.315  1.0025e+00  3.3408e+00           0           0
  3580.140  4.2255e+00  3.5384e+00           0           0
  3580.964  3.7495e+00  3.5760e+00           0           0
  3581.789  1.7783e+00  3.5453e+00           0           0
  3582.614  8.5104e+00  3.8030e+00           0    33554432
  3583.439  7.5631e+00  3.7918e+00           0    33554432
  3584.264  3.7028e+00  3.4450e+00           0           0
  3585.089  1.7757e+00  3.1066e+00           0           0
  3585.915  2.4387e+00  3.0558e+00           0           0
  3586.741  4.5500e+00  3.1521e+00           0           0
  3587.567  5.6898e+00  3.1950e+00           0           0
  3588.393  7.0510e-01  3.0089e+00           0           0
  3589.219  1.4953e+00  3.0673e+00           0           0
  3590.046  6.8080e+00  3.1908e+00           0           0
  3590.872  4.5787e+00  3.0743e+00           0           0
  3591.699 -1.5971e+00  2.9168e+00           0           0
  3592.526  5.3051e+00  2.9280e+00           0           0
  3593.354 -8.6059e-01  2.9345e+00           0           0
  3594.181 -4.3333e+00  2.7894e+00           0           0
  3595.009  1.6372e-01  2.9068e+00           0           0
  3595.837  6.2099e+00  3.0197e+00           0           0
  3596.665  6.7278e+00  3.0622e+00           0           0
