# Mean_MJD=56660.209
# RMID=113 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.984
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0310
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.9172e+01  0.0000e+00    16777216    88080384
  3567.796  1.9169e+01  5.8165e+00           0    71303168
  3568.617  1.0681e+01  0.0000e+00           0    71303168
  3569.439  2.1940e+00  3.4747e+00           0           0
  3570.261  1.1823e+00  3.3544e+00           0           0
  3571.083  3.2893e+00  3.3412e+00           0           0
  3571.906  7.3519e+00  3.4426e+00           0           0
  3572.728  6.4277e+00  3.4027e+00           0           0
  3573.551  8.2785e+00  3.5594e+00           0           0
  3574.374  1.2937e+01  3.7096e+00           0           0
  3575.197  1.4383e+01  3.8406e+00           0    33554432
  3576.020  1.4845e+01  3.8885e+00           0    33554432
  3576.844  1.1996e+01  3.8261e+00           0           0
  3577.668  1.3643e+01  3.6439e+00           0           0
  3578.491  1.3323e+01  3.5771e+00           0           0
  3579.315  9.9759e+00  3.5576e+00           0           0
  3580.140  8.8477e+00  3.4793e+00           0           0
  3580.964  9.7833e+00  3.5913e+00           0           0
  3581.789  1.2946e+01  3.7235e+00           0           0
  3582.614  2.4837e+01  4.0290e+00           0           0
  3583.439  1.5802e+01  3.6151e+00           0           0
  3584.264  6.6971e+00  3.5078e+00           0           0
  3585.089  2.3497e+01  3.7725e+00           0           0
  3585.915  1.4114e+01  3.5499e+00           0           0
  3586.741  1.3160e+01  3.3184e+00           0           0
  3587.567  1.0061e+01  3.1323e+00           0           0
  3588.393  8.9662e+00  3.1416e+00           0           0
  3589.219  1.2392e+01  3.1862e+00           0           0
  3590.046  1.3325e+01  3.2782e+00           0           0
  3590.872  6.8911e+00  3.1767e+00           0           0
  3591.699  1.1186e+01  3.2135e+00           0           0
  3592.526  1.0572e+01  3.3563e+00           0           0
  3593.354  1.1510e+01  3.3580e+00           0           0
  3594.181  1.5896e+01  3.4634e+00           0           0
  3595.009  1.7256e+01  3.4456e+00           0           0
  3595.837  1.5368e+01  3.4046e+00           0           0
  3596.665  7.9248e+00  3.1269e+00           0           0
  3597.493  1.2266e+01  3.1761e+00           0           0
  3598.322  1.2850e+01  3.1147e+00           0           0
  3599.150  9.5648e+00  3.0557e+00           0           0
  3599.979  1.4741e+01  3.1566e+00           0           0
  3600.808  1.9499e+01  3.3349e+00           0           0
  3601.637  2.2017e+01  3.5056e+00           0           0
  3602.467  1.3524e+01  3.2228e+00           0           0
  3603.296  9.9448e+00  3.1502e+00           0           0
  3604.126  1.3792e+01  3.1454e+00           0           0
  3604.956  1.5884e+01  3.1127e+00           0           0
  3605.786  1.9394e+01  3.0677e+00           0           0
  3606.617  1.7180e+01  2.9889e+00           0           0
  3607.447  1.4161e+01  2.8377e+00           0           0
  3608.278  1.2576e+01  2.8094e+00           0           0
  3609.109  1.2261e+01  2.7019e+00           0           0
  3609.940  1.3841e+01  2.7630e+00           0           0
  3610.771  1.8432e+01  2.8615e+00           0           0
  3611.603  1.7121e+01  2.8289e+00           0           0
  3612.434  1.3972e+01  2.7932e+00           0           0
  3613.266  1.2969e+01  2.7009e+00           0           0
  3614.098  1.3713e+01  2.7018e+00           0           0
  3614.931  1.2921e+01  2.6187e+00           0           0
  3615.763  1.0769e+01  2.6234e+00           0           0
  3616.596  1.9332e+01  2.9545e+00           0           0
  3617.429  2.0783e+01  2.8799e+00           0           0
  3618.262  2.0622e+01  2.9653e+00           0           0
  3619.095  1.9897e+01  2.9235e+00           0           0
  3619.928  1.6457e+01  2.8712e+00           0           0
  3620.762  2.1836e+01  3.0137e+00           0           0
  3621.596  2.3169e+01  3.0154e+00           0           0
  3622.430  2.6711e+01  3.0025e+00           0           0
  3623.264  2.3520e+01  2.9552e+00           0           0
  3624.098  2.3254e+01  2.9349e+00           0           0
  3624.933  3.3891e+01  3.1265e+00           0           0
  3625.768  2.4606e+01  2.8437e+00           0           0
  3626.603  1.5050e+01  2.5415e+00           0           0
  3627.438  1.6446e+01  2.6413e+00           0           0
  3628.273  2.0506e+01  2.7651e+00           0           0
  3629.109  2.3903e+01  2.8493e+00           0           0
  3629.944  2.4825e+01  2.8471e+00           0           0
  3630.780  1.3677e+01  2.6272e+00           0           0
  3631.616  1.9794e+01  2.8021e+00           0           0
  3632.453  1.6576e+01  2.6689e+00           0           0
  3633.289  1.2640e+01  2.6530e+00           0           0
  3634.126  1.7069e+01  2.6757e+00           0           0
  3634.963  2.3953e+01  2.8286e+00           0           0
  3635.800  2.5159e+01  2.7871e+00           0           0
  3636.637  1.9778e+01  2.6209e+00           0           0
  3637.475  1.6024e+01  2.5616e+00           0           0
  3638.312  1.6823e+01  2.5695e+00           0           0
  3639.150  1.6870e+01  2.5841e+00           0           0
  3639.988  1.3486e+01  2.4957e+00           0           0
  3640.826  1.6163e+01  2.4469e+00           0           0
  3641.665  1.4346e+01  2.4123e+00           0           0
  3642.503  1.1949e+01  2.4174e+00           0           0
  3643.342  1.2205e+01  2.4327e+00           0           0
  3644.181  1.4325e+01  2.5024e+00           0           0
  3645.021  1.5878e+01  2.4945e+00           0           0
  3645.860  1.5129e+01  2.5098e+00           0           0
  3646.699  7.1602e+00  2.2555e+00           0           0
  3647.539  1.2615e+01  2.5370e+00           0           0
  3648.379  1.9589e+01  2.6581e+00           0           0
  3649.219  1.8591e+01  2.7504e+00           0           0
  3650.060  1.5682e+01  2.7084e+00           0           0
  3650.900  1.7596e+01  2.7267e+00           0           0
  3651.741  1.5247e+01  2.7336e+00           0           0
  3652.582  1.1308e+01  2.5008e+00           0           0
  3653.423  1.0602e+01  2.3993e+00           0           0
  3654.264  1.4896e+01  2.4819e+00           0           0
  3655.106  1.8635e+01  2.6247e+00           0           0
  3655.948  1.2355e+01  2.5688e+00           0           0
  3656.790  1.3879e+01  2.4376e+00           0           0
  3657.632  1.3639e+01  2.4259e+00           0           0
  3658.474  1.3605e+01  2.4040e+00           0           0
  3659.317  1.4819e+01  2.4102e+00           0           0
  3660.159  1.3559e+01  2.3307e+00           0           0
  3661.002  1.0574e+01  2.2778e+00           0           0
  3661.845  1.2899e+01  2.4301e+00           0           0
  3662.688  1.8156e+01  2.5130e+00           0           0
  3663.532  1.8739e+01  2.5983e+00           0           0
  3664.376  1.7734e+01  2.5890e+00           0           0
  3665.219  1.8590e+01  2.4879e+00           0           0
  3666.063  1.0189e+01  2.2113e+00           0           0
  3666.908  1.6501e+01  2.1933e+00           0           0
  3667.752  1.4668e+01  2.3319e+00           0    33554432
  3668.597  1.1570e+01  2.1367e+00           0    33554432
  3669.442  1.2323e+01  2.1188e+00           0           0
  3670.287  1.2050e+01  2.1207e+00           0           0
  3671.132  1.3846e+01  2.1785e+00           0           0
  3671.977  1.6231e+01  2.2673e+00           0           0
  3672.823  1.1329e+01  2.0081e+00           0           0
  3673.669  8.6930e+00  2.0311e+00           0           0
  3674.515  1.1507e+01  1.9767e+00           0           0
  3675.361  1.2383e+01  2.0253e+00           0           0
  3676.207  8.9867e+00  1.9532e+00           0           0
  3677.054  9.6247e+00  1.9318e+00           0           0
  3677.901  1.0851e+01  2.0475e+00           0           0
  3678.747  1.3776e+01  2.0960e+00           0           0
  3679.595  1.4799e+01  2.0696e+00           0           0
  3680.442  1.0091e+01  1.8713e+00           0           0
  3681.290  8.0842e+00  1.7897e+00           0           0
  3682.137  8.3820e+00  1.7795e+00           0           0
