# Mean_MJD=56660.209
# RMID=072 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.963
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0192
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -9.1460e-01  0.0000e+00    16777216    88080384
  3567.796 -9.1449e-01  6.0731e+00           0    71303168
  3663.532  9.7621e+00  2.6439e+00           0           0
  3664.376  1.0749e+01  2.6761e+00           0           0
  3665.219  7.9920e+00  2.4927e+00           0           0
  3666.063  6.0189e+00  2.4207e+00           0           0
  3666.908  1.2418e+01  2.5078e+00           0           0
  3667.752  9.4576e+00  2.3630e+00           0           0
  3668.597  8.0770e+00  2.3266e+00           0           0
  3669.442  9.5971e+00  2.3594e+00           0           0
  3670.287  1.2191e+01  2.4631e+00           0           0
  3671.132  1.4494e+01  2.4123e+00           0           0
  3671.977  9.8091e+00  2.3882e+00           0           0
  3672.823  1.3809e+01  2.4591e+00           0           0
  3673.669  7.7837e+00  2.2154e+00           0           0
  3674.515  5.8032e+00  2.2220e+00           0           0
  3675.361  1.1837e+01  2.2980e+00           0           0
  3676.207  1.0927e+01  2.3326e+00           0           0
  3677.054  1.3801e+01  2.4285e+00           0           0
  3677.901  9.2600e+00  2.2594e+00           0           0
  3678.747  4.3516e+00  2.1356e+00           0           0
  3679.595  5.3033e+00  2.0781e+00           0           0
  3680.442  9.2430e+00  2.1204e+00           0           0
  3681.290  9.3494e+00  2.1200e+00           0           0
  3682.137  7.7420e+00  2.0820e+00           0           0
  3682.985  2.4089e+00  1.8848e+00           0           0
  3683.833  5.0159e+00  1.9987e+00           0           0
  3684.682  7.2847e+00  1.9186e+00           0           0
  3685.530  5.0328e+00  1.9856e+00           0           0
  3686.379  5.2104e+00  1.9738e+00           0           0
  3687.228  4.4825e+00  1.9215e+00           0           0
  3688.077  6.1884e+00  1.9414e+00           0           0
  3688.926  5.6586e+00  1.8568e+00           0           0
  3689.776  4.5608e+00  1.8646e+00           0           0
  3690.625  6.2764e+00  1.9228e+00           0           0
  3691.475  9.0380e+00  1.9870e+00           0           0
  3692.325  5.4260e+00  1.9056e+00           0           0
  3693.176  3.3660e+00  1.8346e+00           0           0
  3694.026  6.2887e+00  1.9053e+00           0           0
  3694.877  8.4607e+00  1.9630e+00           0           0
  3695.728  7.2146e+00  1.8926e+00           0           0
  3696.579  6.5891e+00  1.8272e+00           0           0
  3697.430  7.8531e+00  1.8617e+00           0           0
  3698.282  4.6933e+00  1.8635e+00           0           0
  3699.133  4.6118e+00  1.7823e+00           0           0
  3699.985  6.0250e+00  1.9786e+00           0           0
  3700.837  7.6453e+00  2.0028e+00           0           0
  3701.689  9.8597e+00  1.9880e+00           0           0
  3702.542  4.4662e+00  1.8992e+00           0           0
  3703.394  3.3799e+00  1.8914e+00           0           0
  3704.247  6.5690e+00  1.9157e+00           0           0
  3705.100  6.5377e+00  1.8959e+00           0           0
  3705.954  4.0461e+00  1.8168e+00           0           0
  3706.807  6.2271e+00  1.8235e+00           0           0
  3707.661  7.6103e+00  1.8273e+00           0           0
  3708.514  8.5872e+00  1.9785e+00           0           0
  3709.368  8.2602e+00  1.8796e+00           0    33554432
  3710.223  5.0726e+00  1.8202e+00           0    33554432
  3711.077  4.5510e+00  1.7181e+00           0           0
  3711.932  9.7023e+00  1.7801e+00           0           0
  3712.787  2.0427e+00  1.6836e+00           0           0
  3713.641  3.5861e+00  1.6642e+00           0           0
  3714.497  5.1027e+00  1.7415e+00           0           0
  3715.352  5.9313e+00  1.7515e+00           0           0
  3716.208  5.8732e+00  1.6636e+00           0           0
  3717.063  3.2175e+00  1.5992e+00           0           0
  3717.919  7.4940e+00  1.6092e+00           0           0
  3718.776  3.3790e+00  1.5374e+00           0           0
  3719.632  2.6716e+00  1.4608e+00           0           0
  3720.489  4.2580e+00  1.4935e+00           0           0
  3721.345  4.0451e+00  1.5007e+00           0           0
  3722.202  4.2502e+00  1.5327e+00           0           0
  3723.059  6.3218e+00  1.5277e+00           0           0
  3723.917  5.5157e+00  1.5105e+00           0           0
  3724.774  7.2199e+00  1.6080e+00           0           0
  3725.632  8.0988e+00  1.6655e+00           0           0
  3726.490  7.2803e+00  1.6800e+00           0           0
  3727.348  9.0321e+00  1.6912e+00           0           0
  3728.207  9.1450e+00  1.6934e+00           0           0
  3729.065  4.2143e+00  1.5554e+00           0           0
  3729.924  3.4763e+00  1.4822e+00           0           0
  3730.783  5.8288e+00  1.5162e+00           0           0
  3731.642  6.2094e+00  1.5738e+00           0           0
  3732.501  4.3472e+00  1.5875e+00           0           0
  3733.361  5.7499e+00  1.6001e+00           0           0
  3734.221  5.5258e+00  1.5845e+00           0           0
  3735.081  5.4836e+00  1.5774e+00           0           0
  3735.941  6.1019e+00  1.5296e+00           0           0
  3736.801  4.8917e+00  1.5416e+00           0           0
  3737.662  2.0668e+00  1.4734e+00           0           0
  3738.522  6.3065e+00  1.6261e+00           0           0
  3739.383  3.6122e+00  1.5923e+00           0           0
  3740.244  1.5953e+00  1.5083e+00           0           0
  3741.106  5.3628e+00  1.5511e+00           0           0
  3741.967  7.7492e+00  1.6323e+00           0           0
  3742.829  2.4045e+00  1.5554e+00           0           0
  3743.691  7.1446e+00  1.6106e+00           0           0
  3744.553  5.9779e+00  1.5088e+00           0           0
  3745.415  5.7302e+00  1.4888e+00           0           0
  3746.278  3.7955e+00  1.4428e+00           0           0
  3747.140  6.2406e-01  1.3539e+00           0           0
  3748.003  2.9912e+00  1.3915e+00           0           0
  3748.867  4.9038e+00  1.3854e+00           0           0
  3749.730  3.6083e+00  1.3095e+00           0           0
  3750.593  1.7118e+00  1.2922e+00           0           0
  3751.457  1.8754e+00  1.3504e+00           0           0
  3752.321  4.5025e+00  1.4794e+00           0           0
  3753.185  6.6689e+00  1.5010e+00           0           0
  3754.049  4.6388e+00  1.4413e+00           0           0
  3754.914  9.1874e+00  1.5582e+00           0           0
  3755.779  4.8459e+00  1.4535e+00           0           0
  3756.643  2.9638e+00  1.4399e+00           0           0
  3757.509  6.8040e+00  1.4290e+00           0           0
  3758.374  3.5923e+00  1.3093e+00           0           0
  3759.239  5.0156e+00  1.3027e+00           0           0
  3760.105  3.6058e+00  1.2770e+00           0           0
  3760.971  3.9033e+00  1.2578e+00           0           0
  3761.837  3.5643e+00  1.1564e+00           0           0
  3762.703  1.7375e+00  1.0859e+00           0           0
  3763.570  2.7538e+00  1.0990e+00           0           0
  3764.437  5.3841e+00  1.2137e+00           0       65536
  3765.303  3.2743e+00  1.2009e+00           0       65536
  3766.170  2.6649e+00  1.1614e+00           0       65536
  3767.038  3.2028e+00  1.1400e+00           0       65536
  3767.905  3.5707e+00  1.1372e+00           0       65536
  3768.773  4.4639e+00  1.1289e+00           0           0
  3769.641  3.1799e+00  1.1359e+00           0           0
  3770.509  5.5584e+00  1.2144e+00           0           0
  3771.377  2.9660e+00  1.1999e+00           0           0
  3772.246  2.1097e+00  1.1626e+00           0           0
  3773.114  4.8363e+00  1.2070e+00           0           0
  3773.983  3.5387e+00  1.1898e+00           0           0
  3774.852  4.8720e+00  1.1869e+00           0           0
  3775.722  3.0948e+00  1.1965e+00           0           0
  3776.591  3.8353e+00  1.2156e+00           0           0
  3777.461  3.9460e+00  1.2273e+00           0           0
  3778.331  2.6870e+00  1.1397e+00           0           0
  3779.201  4.2951e+00  1.1696e+00           0           0
  3780.071  3.3383e+00  1.1427e+00           0           0
  3780.942  1.3475e+00  1.0861e+00           0           0
  3781.812  4.8494e+00  1.0899e+00           0           0
  3782.683  6.6239e+00  1.1867e+00           0           0
  3783.554  4.4650e+00  1.1164e+00           0           0
  3784.426  5.3800e+00  1.1689e+00           0           0
  3785.297  4.7525e+00  1.1722e+00           0           0
  3786.169  3.1267e+00  1.1597e+00           0           0
  3787.041  5.1239e+00  1.1454e+00           0           0
  3787.913  4.7411e+00  1.1160e+00           0           0
  3788.785  2.3438e+00  1.0375e+00           0           0
  3789.658  5.1673e+00  1.1249e+00           0           0
  3790.530  4.2373e+00  1.1072e+00           0           0
  3791.403  4.5106e+00  1.0826e+00           0           0
  3792.276  2.8875e+00  1.0525e+00           0           0
  3793.150  3.4068e+00  1.1284e+00           0           0
  3794.023  5.1669e+00  1.1938e+00           0           0
  3794.897  3.0408e+00  1.1661e+00           0           0
  3795.771  6.3047e+00  1.2597e+00           0    33554432
  3796.645  2.4664e+00  1.0968e+00           0    33554432
  3797.519  3.7576e+00  1.0473e+00           0           0
  3798.394  5.5766e+00  1.1008e+00           0           0
  3799.268  4.2830e+00  1.0599e+00           0           0
  3800.143  5.1542e+00  1.0834e+00           0           0
  3801.018  2.9266e+00  1.0405e+00           0           0
  3801.894  2.8115e+00  1.0389e+00           0           0
  3802.769  4.0604e+00  1.0867e+00           0           0
  3803.645  4.0105e+00  1.1148e+00           0           0
  3804.521  2.4523e+00  1.0692e+00           0           0
  3805.397  1.5295e+00  1.0481e+00           0           0
  3806.273  1.4188e+00  1.0138e+00           0           0
  3807.150  2.9632e+00  1.0016e+00           0           0
  3808.027  3.0503e+00  9.7473e-01           0           0
  3808.904  3.5483e+00  1.0328e+00           0           0
  3809.781  4.5899e+00  1.0530e+00           0           0
  3810.658  3.0941e+00  1.0170e+00           0           0
  3811.536  1.7871e+00  9.8482e-01           0           0
  3812.413  3.2746e+00  1.0534e+00           0           0
  3813.291  4.1271e+00  1.0291e+00           0           0
  3814.169  2.3364e+00  1.0472e+00           0           0
  3815.048  1.5905e+00  1.0193e+00           0           0
  3815.926  5.4096e+00  1.0983e+00           0           0
  3816.805  4.3943e+00  1.0796e+00           0           0
  3817.684  3.9717e+00  1.0389e+00           0           0
  3818.563  5.1614e+00  1.0493e+00           0           0
  3819.443  4.3677e+00  1.0641e+00           0           0
  3820.322  1.9532e+00  9.3930e-01           0           0
  3821.202  2.3027e+00  9.3256e-01           0           0
  3822.082  2.9772e+00  9.4123e-01           0           0
  3822.962  3.6561e+00  9.4610e-01           0           0
  3823.842  2.0932e+00  1.0061e+00           0           0
  3824.723  2.3771e+00  9.6817e-01           0           0
  3825.604  4.3283e+00  9.9005e-01           0           0
  3826.485  2.6038e+00  8.8616e-01           0           0
  3827.366  1.9145e+00  8.7908e-01           0           0
  3828.247  3.6657e+00  9.4013e-01           0           0
  3829.129  4.2850e+00  1.0513e+00           0           0
  3830.011  4.7313e+00  1.0802e+00           0           0
  3830.893  5.2652e+00  1.1199e+00           0           0
  3831.775  4.1082e+00  1.0716e+00           0           0
  3832.657  4.2456e+00  1.1206e+00           0           0
  3833.540  4.6572e+00  1.1452e+00           0           0
  3834.423  5.5741e+00  1.1470e+00           0           0
  3835.306  4.9560e+00  1.1327e+00           0           0
  3836.189  3.5293e+00  1.0957e+00           0           0
  3837.072  4.2994e+00  1.0697e+00           0           0
  3837.956  3.9561e+00  9.8094e-01           0           0
  3838.840  4.3533e+00  1.0159e+00           0           0
  3839.724  4.7098e+00  1.0487e+00           0    33554432
  3840.608  4.2290e+00  1.0026e+00           0    33554432
  3841.492  3.5948e+00  9.6872e-01           0           0
  3842.377  3.9879e+00  9.9847e-01           0           0
  3843.262  4.1339e+00  1.0158e+00           0           0
  3844.147  3.7996e+00  1.0148e+00           0           0
  3845.032  4.5965e+00  1.0295e+00           0           0
  3845.918  4.1127e+00  1.0377e+00           0           0
  3846.803  2.7379e+00  1.0184e+00           0           0
