# Mean_MJD=56660.209
# RMID=169 SOURCE_TYPE=RM_TILE2
# ZFINAL=2.881
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0612
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -3.1289e+00  0.0000e+00    83886080    88080384
  3567.796 -3.1279e+00  0.0000e+00    83886080    88080384
  3568.617 -3.1269e+00  0.0000e+00    88080384    88080384
  3569.439 -3.1259e+00  0.0000e+00    88080384    88080384
  3570.261 -3.1249e+00  0.0000e+00    88080384    88080384
  3571.083 -3.1239e+00  0.0000e+00    88080384    88080384
  3571.906 -3.1229e+00  0.0000e+00    88080384    88080384
  3572.728 -3.1219e+00  0.0000e+00    88080384    88080384
  3573.551 -3.1210e+00  0.0000e+00    88080384    88080384
  3574.374 -3.1200e+00  0.0000e+00    88080384    88080384
  3575.197 -3.1190e+00  0.0000e+00    88080384    88080384
  3576.020 -3.1180e+00  0.0000e+00    88080384    88080384
  3576.844 -3.1171e+00  0.0000e+00    88080384    88080384
  3577.668 -3.1161e+00  0.0000e+00    88080384    88080384
  3578.491 -3.1151e+00  0.0000e+00    88080384    88080384
  3579.315 -3.1142e+00  0.0000e+00    88080384    88080384
  3580.140 -3.1132e+00  0.0000e+00    88080384    88080384
  3580.964 -3.1122e+00  0.0000e+00    88080384    88080384
  3581.789 -3.1113e+00  0.0000e+00    88080384    88080384
  3582.614 -3.1103e+00  0.0000e+00    88080384    88080384
  3583.439 -3.1093e+00  0.0000e+00    88080384    88080384
  3584.264 -3.1084e+00  0.0000e+00    88080384    88080384
  3585.089 -3.1074e+00  0.0000e+00    88080384    88080384
  3585.915 -3.1065e+00  0.0000e+00    88080384    88080384
  3586.741 -3.1055e+00  0.0000e+00    88080384    88080384
  3587.567 -3.1045e+00  0.0000e+00    88080384    88080384
  3588.393 -3.1036e+00  0.0000e+00    88080384    88080384
  3589.219 -3.1026e+00  0.0000e+00    88080384    88080384
