# Mean_MJD=56660.209
# RMID=002 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.756
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0277
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.0848e-01  0.0000e+00    16777216    88080384
  3567.796  1.0847e-01  4.5349e+00           0    71303168
  3568.617 -7.0083e-01  0.0000e+00           0    71303168
  3569.439 -1.5100e+00  3.2312e+00           0           0
  3570.261 -1.1928e+00  3.1696e+00           0           0
  3571.083  2.6314e+00  3.3358e+00           0           0
  3571.906  7.6843e-02  3.1991e+00           0           0
  3572.728  3.4089e-01  3.1212e+00           0           0
  3573.551  4.9929e+00  3.3620e+00           0           0
  3574.374  5.9589e+00  3.2961e+00           0           0
  3575.197  7.2780e-01  3.1678e+00           0           0
  3576.020 -3.9179e+00  3.0180e+00           0           0
  3576.844 -6.2396e-03  3.0408e+00           0           0
  3577.668  1.4941e+00  3.2162e+00           0           0
  3578.491  6.4923e+00  3.2593e+00           0           0
  3579.315  6.1293e+00  3.4258e+00           0    33554432
  3580.140  1.4236e-01  3.1550e+00           0    33554432
  3580.964 -3.1942e+00  3.0331e+00           0           0
  3581.789  1.0690e+00  3.1937e+00           0           0
  3582.614  6.9192e+00  3.4012e+00           0           0
  3583.439  5.3784e+00  3.2507e+00           0           0
  3584.264  5.9338e-01  3.0947e+00           0           0
  3585.089  2.2779e+00  3.1214e+00           0           0
  3585.915  5.1473e+00  2.9774e+00           0           0
  3586.741 -7.7004e+00  2.6464e+00           0           0
  3587.567 -6.5142e-01  2.6634e+00           0           0
  3588.393 -1.8677e+00  2.7076e+00           0           0
  3589.219 -1.3625e+00  2.7827e+00           0           0
  3590.046  3.5852e+00  2.8799e+00           0           0
  3590.872  3.9571e+00  2.9085e+00           0           0
  3591.699 -1.1442e+00  2.8389e+00           0           0
  3592.526  1.5933e+00  2.9203e+00           0           0
  3593.354  2.1056e-01  2.7478e+00           0           0
  3594.181  2.7678e+00  2.8838e+00           0           0
  3595.009  3.9242e+00  2.7477e+00           0           0
  3595.837 -5.6772e-01  2.6560e+00           0           0
  3596.665  3.2120e+00  2.7218e+00           0           0
  3597.493  3.1189e+00  2.7151e+00           0           0
  3598.322 -4.9030e-01  2.6885e+00           0           0
  3599.150 -3.4116e-01  2.6679e+00           0           0
  3599.979  2.7676e+00  2.6662e+00           0           0
  3600.808  3.9334e+00  2.7405e+00           0           0
  3601.637  2.6540e+00  2.7398e+00           0           0
  3602.467 -1.0155e-01  2.6168e+00           0           0
  3603.296 -1.3263e+00  2.5146e+00           0           0
  3604.126  2.8007e+00  2.6258e+00           0           0
  3604.956  5.3364e+00  2.5725e+00           0           0
  3605.786  1.2265e+00  2.4152e+00           0           0
  3606.617  3.9928e-01  2.4365e+00           0           0
  3607.447  5.7791e+00  2.5751e+00           0           0
  3608.278  3.6196e+00  2.4461e+00           0           0
  3609.109  3.3209e+00  2.4575e+00           0           0
  3609.940  3.5521e+00  2.4081e+00           0           0
  3610.771  7.6811e-01  2.3770e+00           0           0
  3611.603  4.2269e+00  2.3863e+00           0           0
  3612.434  4.2885e+00  2.2363e+00           0           0
  3613.266  4.9763e+00  2.3417e+00           0           0
  3614.098  8.5229e-02  2.2043e+00           0           0
  3614.931 -2.3539e+00  2.1271e+00           0           0
  3615.763  2.2283e+00  2.2616e+00           0           0
  3616.596 -1.2194e+00  2.2639e+00           0           0
  3617.429  1.5062e+00  2.3349e+00           0           0
  3618.262 -1.3707e+00  2.2344e+00           0           0
  3619.095 -3.2158e-02  2.2372e+00           0           0
  3619.928  1.8792e+00  2.1698e+00           0           0
  3620.762 -1.6633e+00  2.0573e+00           0           0
  3621.596  3.9646e-01  2.0516e+00           0           0
  3622.430  2.3523e+00  2.1729e+00           0           0
  3623.264  5.9846e+00  2.1995e+00           0           0
  3624.098  2.9515e+00  2.1671e+00           0           0
  3624.933 -5.4181e-01  2.0853e+00           0           0
  3625.768  1.9271e+00  2.1122e+00           0           0
  3626.603 -2.8036e-01  2.0159e+00           0           0
  3627.438  8.9006e-01  2.0269e+00           0           0
  3628.273  2.5896e+00  2.1135e+00           0           0
  3629.109 -1.9997e-01  2.0507e+00           0           0
  3629.944 -1.5030e+00  2.0375e+00           0           0
  3630.780  2.7290e+00  2.1686e+00           0           0
  3631.616  2.7836e+00  2.3206e+00           0           0
  3632.453  3.4623e+00  2.3808e+00           0           0
  3633.289  1.2708e+00  2.2545e+00           0           0
  3634.126  2.2686e-01  2.2720e+00           0           0
  3634.963  1.2292e+00  2.2231e+00           0           0
  3635.800  2.0320e+00  2.2196e+00           0           0
  3636.637  1.5300e+00  2.2378e+00           0           0
  3637.475 -1.7602e+00  2.0583e+00           0           0
  3638.312  5.2219e+00  2.2937e+00           0           0
  3639.150  2.3248e+00  2.1996e+00           0           0
  3639.988 -2.9125e+00  2.1800e+00           0    33554432
  3640.826  3.0958e+00  2.2500e+00           0    33554432
  3641.665  2.1655e+00  2.1174e+00           0           0
