# Mean_MJD=56660.209
# RMID=186 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.400
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0615
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  2.6713e+00  0.0000e+00    83886080    88080384
  3567.796  2.6705e+00  0.0000e+00    83886080    88080384
  3568.617  2.6696e+00  0.0000e+00    88080384    88080384
  3569.439  2.6688e+00  0.0000e+00    88080384    88080384
  3570.261  2.6679e+00  0.0000e+00    88080384    88080384
  3571.083  2.6671e+00  0.0000e+00    88080384    88080384
  3571.906  2.6662e+00  0.0000e+00    88080384    88080384
  3572.728  2.6654e+00  0.0000e+00    88080384    88080384
  3573.551  2.6646e+00  0.0000e+00    88080384    88080384
  3574.374  2.6637e+00  0.0000e+00    88080384    88080384
  3575.197  2.6629e+00  0.0000e+00    88080384    88080384
  3576.020  2.6621e+00  0.0000e+00    88080384    88080384
  3576.844  2.6612e+00  0.0000e+00    88080384    88080384
  3577.668  2.6604e+00  0.0000e+00    88080384    88080384
  3578.491  2.6596e+00  0.0000e+00    88080384    88080384
  3579.315  2.6587e+00  0.0000e+00    88080384    88080384
  3580.140  2.6579e+00  0.0000e+00    88080384    88080384
  3580.964  2.6571e+00  0.0000e+00    88080384    88080384
  3581.789  2.6563e+00  0.0000e+00    88080384    88080384
  3582.614  2.6554e+00  0.0000e+00    88080384    88080384
  3583.439  2.6546e+00  0.0000e+00    88080384    88080384
  3584.264  2.6538e+00  0.0000e+00    88080384    88080384
  3585.089  2.6530e+00  0.0000e+00    88080384    88080384
  3585.915  2.6522e+00  0.0000e+00    88080384    88080384
  3586.741  2.6514e+00  0.0000e+00    88080384    88080384
  3587.567  2.6505e+00  0.0000e+00    88080384    88080384
  3588.393  2.6497e+00  0.0000e+00    88080384    88080384
  3589.219  2.6489e+00  0.0000e+00    88080384    88080384
  3590.046  2.6481e+00  0.0000e+00    88080384    88080384
  3590.872  2.6473e+00  0.0000e+00    88080384    88080384
  3591.699  2.6465e+00  0.0000e+00    88080384    88080384
  3592.526  2.6457e+00  0.0000e+00    88080384    88080384
  3593.354  2.6449e+00  0.0000e+00    88080384    88080384
  3594.181  2.6441e+00  0.0000e+00    88080384    88080384
  3595.009  2.6433e+00  0.0000e+00    88080384    88080384
  3595.837  2.6425e+00  0.0000e+00    88080384    88080384
  3596.665  2.6417e+00  0.0000e+00    88080384    88080384
  3597.493  2.6409e+00  0.0000e+00    88080384    88080384
  3598.322  2.6401e+00  0.0000e+00    88080384    88080384
  3599.150  2.6393e+00  0.0000e+00    88080384    88080384
  3599.979  2.6385e+00  0.0000e+00    88080384    88080384
  3600.808  2.6377e+00  0.0000e+00    88080384    88080384
  3601.637  2.6369e+00  0.0000e+00    88080384    88080384
  3602.467  2.6361e+00  0.0000e+00    88080384    88080384
  3603.296  2.6353e+00  0.0000e+00    88080384    88080384
  3604.126  2.6345e+00  0.0000e+00    88080384    88080384
  3604.956  2.6338e+00  0.0000e+00    88080384    88080384
  3605.786  2.6330e+00  0.0000e+00    88080384    88080384
  3606.617  2.6322e+00  0.0000e+00    88080384    88080384
  3607.447  2.6314e+00  0.0000e+00    88080384    88080384
  3608.278  2.6306e+00  0.0000e+00    88080384    88080384
  3609.109  2.6299e+00  0.0000e+00    88080384    88080384
  3609.940  2.6291e+00  0.0000e+00    88080384    88080384
  3610.771  2.6283e+00  0.0000e+00    16777216    88080384
  3611.603  2.6275e+00  0.0000e+00    16777216    83886080
  3612.434  2.6267e+00  5.1714e+00           0           0
  3613.266  5.4474e+00  4.6886e+00           0           0
  3614.098  3.2462e+00  4.5438e+00           0           0
  3614.931  1.0640e+00  4.4448e+00           0           0
  3615.763  1.5570e+00  4.4446e+00           0           0
  3616.596  2.4361e+00  4.4145e+00           0           0
  3617.429  1.4164e+00  4.2935e+00           0           0
  3618.262  4.2434e+00  4.2472e+00           0           0
  3619.095  5.7425e+00  4.3726e+00           0           0
  3619.928  9.4556e+00  4.5051e+00           0           0
  3620.762  1.1290e+01  4.5834e+00           0           0
  3621.596  7.0772e+00  4.3751e+00           0           0
  3622.430  5.0073e+00  4.3284e+00           0           0
  3623.264  7.9082e+00  4.3555e+00           0           0
  3624.098  1.3546e+00  4.0809e+00           0           0
  3624.933  6.2736e+00  4.1678e+00           0           0
  3625.768  9.1781e+00  4.1983e+00           0           0
  3626.603 -2.0750e-01  3.9404e+00           0           0
  3627.438  1.0698e+01  4.1052e+00           0           0
  3628.273  2.2198e+00  3.9523e+00           0           0
  3629.109  7.4616e+00  4.0652e+00           0           0
  3629.944  3.7378e+00  3.9206e+00           0           0
  3630.780 -4.6709e+00  3.7418e+00           0           0
  3631.616 -1.2691e-01  3.7982e+00           0           0
  3632.453  4.8614e+00  3.9806e+00           0           0
  3633.289  1.5579e+01  4.1895e+00           0           0
  3634.126  7.7068e+00  3.9852e+00           0           0
  3634.963  5.4332e+00  3.8228e+00           0           0
  3635.800  5.9456e+00  3.8206e+00           0           0
  3636.637 -6.0531e-01  3.6245e+00           0           0
  3637.475  5.6558e+00  3.6305e+00           0           0
  3638.312  9.4991e-02  3.6062e+00           0           0
  3639.150  2.4864e+00  3.4847e+00           0           0
  3639.988  8.9382e+00  3.6919e+00           0           0
  3640.826  8.5085e+00  3.5729e+00           0           0
  3641.665  3.4208e+00  3.5132e+00           0           0
  3642.503  8.7306e+00  3.6239e+00           0           0
  3643.342  8.0135e+00  3.6336e+00           0           0
  3644.181  4.5970e+00  3.5056e+00           0           0
  3645.021  6.0742e+00  3.3833e+00           0           0
  3645.860  9.1277e+00  3.3513e+00           0           0
  3646.699  8.7626e+00  3.3570e+00           0           0
  3647.539  8.7642e+00  3.2768e+00           0           0
  3648.379  3.7372e+00  3.1710e+00           0           0
  3649.219  9.0210e+00  3.3711e+00           0           0
  3650.060  9.5286e+00  3.4127e+00           0           0
  3650.900  5.9173e+00  3.3640e+00           0           0
  3651.741  7.0004e+00  3.3547e+00           0           0
  3652.582  5.9191e+00  3.2168e+00           0           0
  3653.423  8.3478e+00  3.2440e+00           0           0
  3654.264  6.8441e+00  3.0865e+00           0           0
  3655.106  5.2391e+00  3.1672e+00           0           0
  3655.948  7.9475e+00  3.1541e+00           0           0
  3656.790  9.7528e+00  3.0847e+00           0           0
  3657.632  1.5527e+00  2.8882e+00           0           0
  3658.474  6.8233e+00  2.9659e+00           0           0
  3659.317  4.0118e+00  2.9447e+00           0           0
  3660.159  6.2752e+00  2.9328e+00           0           0
  3661.002  1.0005e+01  2.9417e+00           0           0
  3661.845  6.6743e+00  2.9300e+00           0           0
  3662.688  1.0181e+01  2.9876e+00           0           0
  3663.532  4.7745e+00  2.9244e+00           0           0
  3664.376  1.3020e+00  2.8586e+00           0           0
  3665.219  4.3286e+00  2.9804e+00           0           0
  3666.063  9.7044e+00  2.9902e+00           0           0
  3666.908  9.9694e+00  2.9121e+00           0           0
  3667.752  3.3467e+00  2.7293e+00           0           0
  3668.597  4.0251e+00  2.7606e+00           0           0
  3669.442  9.0179e+00  2.7990e+00           0           0
  3670.287  6.3078e+00  2.6328e+00           0           0
  3671.132  6.0551e+00  2.6385e+00           0           0
  3671.977  1.3426e+01  2.7744e+00           0           0
  3672.823  5.3689e+00  2.7608e+00           0           0
  3673.669  1.2108e+01  2.7844e+00           0           0
  3674.515  6.8560e+00  2.7265e+00           0           0
  3675.361  6.4499e+00  2.7453e+00           0           0
  3676.207  9.6134e+00  2.7363e+00           0           0
  3677.054  6.7793e+00  2.6980e+00           0       65536
  3677.901  1.1909e+01  2.7028e+00           0       65536
  3678.747  7.1806e+00  2.6023e+00           0       65536
  3679.595  1.0985e+01  2.7579e+00           0       65536
  3680.442  1.2127e+01  2.7306e+00           0       65536
  3681.290  8.9769e+00  2.7005e+00           0       65536
  3682.137  9.5372e+00  2.6247e+00           0           0
  3682.985  1.0869e+01  2.6409e+00           0           0
  3683.833  9.5500e+00  2.6544e+00           0           0
  3684.682  1.1766e+01  2.6611e+00           0           0
  3685.530  1.1448e+01  2.6738e+00           0           0
  3686.379  9.0365e+00  2.5033e+00           0           0
  3687.228  9.5576e+00  2.5678e+00           0           0
  3688.077  1.0936e+01  2.5665e+00           0           0
  3688.926  9.8209e+00  2.4798e+00           0           0
  3689.776  1.0034e+01  2.4693e+00           0           0
  3690.625  1.0025e+01  2.5271e+00           0           0
  3691.475  1.3329e+01  2.5404e+00           0           0
  3692.325  1.8254e+01  2.6833e+00           0           0
  3693.176  1.1554e+01  2.5555e+00           0           0
  3694.026  1.3069e+01  2.5276e+00           0           0
  3694.877  1.7305e+01  2.6266e+00           0           0
  3695.728  1.3930e+01  2.4720e+00           0           0
  3696.579  1.1806e+01  2.4703e+00           0           0
  3697.430  1.6807e+01  2.5102e+00           0           0
  3698.282  1.2305e+01  2.5547e+00           0           0
  3699.133  2.3201e+01  3.0299e+00           0    33554432
  3699.985  1.7751e+01  2.9453e+00           0    33554432
  3700.837  1.8676e+01  2.6595e+00           0           0
  3701.689  2.4219e+01  2.7701e+00           0           0
  3702.542  1.7341e+01  2.6517e+00           0           0
  3703.394  1.3752e+01  2.5023e+00           0           0
  3704.247  1.6591e+01  2.5522e+00           0           0
  3705.100  1.7158e+01  2.5747e+00           0           0
  3705.954  1.9476e+01  2.5656e+00           0           0
  3706.807  2.1821e+01  2.5581e+00           0           0
  3707.661  1.9263e+01  2.4964e+00           0           0
  3708.514  1.6301e+01  2.4139e+00           0           0
  3709.368  1.7504e+01  2.4166e+00           0           0
  3710.223  1.3629e+01  2.3300e+00           0           0
  3711.077  1.3952e+01  2.3091e+00           0           0
  3711.932  1.6380e+01  2.3546e+00           0           0
  3712.787  1.4752e+01  2.2720e+00           0           0
  3713.641  1.7505e+01  2.3435e+00           0           0
  3714.497  1.6798e+01  2.3248e+00           0           0
  3715.352  1.5413e+01  2.2470e+00           0           0
  3716.208  1.4358e+01  2.1866e+00           0           0
  3717.063  1.3433e+01  2.1340e+00           0           0
  3717.919  1.3972e+01  2.1350e+00           0           0
  3718.776  1.7728e+01  2.1778e+00           0           0
  3719.632  1.6377e+01  2.1784e+00           0           0
  3720.489  1.3931e+01  2.0696e+00           0           0
  3721.345  1.2536e+01  2.0697e+00           0           0
  3722.202  1.3622e+01  2.1080e+00           0           0
  3723.059  1.5377e+01  2.1112e+00           0           0
  3723.917  1.2768e+01  2.0545e+00           0           0
  3724.774  1.5740e+01  2.0675e+00           0           0
